##MAIN
name                Lee
    bbox     226 98 28 81
    frame    data/chars/bosses/lee/idle20.png
    frame    data/chars/bosses/lee/idle21.png
    frame    data/chars/bosses/lee/idle22.png
    frame    data/chars/bosses/lee/idle23.png
    frame    data/chars/bosses/lee/idle24.png
    @cmd looper 0 9
    frame    data/chars/bosses/lee/idle25.png
    delay    16
    frame    data/chars/bosses/lee/idle00.png
    frame    data/chars/bosses/lee/idle01.png
    frame    data/chars/bosses/lee/idle02.png
    frame    data/chars/bosses/lee/idle03.png
    frame    data/chars/bosses/lee/idle04.png
    frame    data/chars/bosses/lee/idle05.png
    frame    data/chars/bosses/lee/idle06.png
    sound    data/voices/lee16.wav
    frame    data/chars/bosses/lee/idle07.png
    frame    data/chars/bosses/lee/idle08.png
    frame    data/chars/bosses/lee/idle09.png
    frame    data/chars/bosses/lee/idle10.png
    delay    2
    frame    data/chars/bosses/lee/idle11.png
    frame    data/chars/bosses/lee/idle12.png
    frame    data/chars/bosses/lee/idle13.png
    frame    data/chars/bosses/lee/idle14.png
    frame    data/chars/bosses/lee/idle15.png
    @cmd looper 16 4
    frame    data/chars/bosses/lee/idle16.png
    delay    20
    bbox     227 105 30 74
    frame    data/chars/bosses/lee/idle17.png
    frame    data/chars/bosses/lee/idle18.png
    frame    data/chars/bosses/lee/idle19.png
    frame    data/chars/bosses/lee/idle20.png
    frame    data/chars/bosses/lee/idle21.png
    frame    data/chars/bosses/lee/idle22.png
    frame    data/chars/bosses/lee/idle23.png
    frame    data/chars/bosses/lee/idle24.png
    frame    data/chars/bosses/lee/idle25.png
    delay    16
    bbox     227 110 30 70
    frame    data/chars/bosses/lee/win000.png
    frame    data/chars/bosses/lee/win001.png
    bbox     225 118 35 63
    frame    data/chars/bosses/lee/win002.png
    bbox     234 126 30 55
    frame    data/chars/bosses/lee/win003.png
    frame    data/chars/bosses/lee/win004.png
    frame    data/chars/bosses/lee/win005.png
    bbox     226 119 30 60
    frame    data/chars/bosses/lee/win006.png
    bbox     227 100 30 80
    frame    data/chars/bosses/lee/win007.png
    bbox     223 99 30 80
    frame    data/chars/bosses/lee/win008.png
    bbox     206 107 30 70
    frame    data/chars/bosses/lee/win009.png
    bbox     200 119 30 60
    sound    data/sounds/Iron5.wav
    frame    data/chars/bosses/lee/win010.png
    frame    data/chars/bosses/lee/win011.png
    frame    data/chars/bosses/lee/win012.png
    frame    data/chars/bosses/lee/win013.png
    bbox     213 99 30 80
    frame    data/chars/bosses/lee/win014.png
    bbox     234 99 30 80
    frame    data/chars/bosses/lee/win015.png
    bbox     256 109 30 70
    frame    data/chars/bosses/lee/win016.png
    bbox     266 120 30 60
    sound    data/sounds/Iron5.wav
    frame    data/chars/bosses/lee/win017.png
    frame    data/chars/bosses/lee/win018.png
    frame    data/chars/bosses/lee/win019.png
    frame    data/chars/bosses/lee/win020.png
    bbox     223 100 30 80
    frame    data/chars/bosses/lee/win021.png
    frame    data/chars/bosses/lee/win022.png
    bbox     226 99 30 80
    frame    data/chars/bosses/lee/win023.png
    frame    data/chars/bosses/lee/win024.png
    frame    data/chars/bosses/lee/win025.png
    sound    data/sounds/Clash5.wav
    frame    data/chars/bosses/lee/win026.png
    frame    data/chars/bosses/lee/win027.png
    frame    data/chars/bosses/lee/win028.png
    frame    data/chars/bosses/lee/win029.png
    @cmd hpCost -999
    @cmd mpCost -999
    frame    data/chars/bosses/lee/win030.png

anim select
    fshadow 0
    loop    0
    delay    100000
    offset    240 180
    frame    data/chars/bosses/lee/idle25.png
    delay    12
    frame    data/chars/bosses/lee/idle00.png
    frame    data/chars/bosses/lee/idle01.png
    frame    data/chars/bosses/lee/idle02.png
    frame    data/chars/bosses/lee/idle03.png
    frame    data/chars/bosses/lee/idle04.png
    frame    data/chars/bosses/lee/idle05.png
    frame    data/chars/bosses/lee/idle06.png
    frame    data/chars/bosses/lee/idle07.png
    frame    data/chars/bosses/lee/idle08.png
    frame    data/chars/bosses/lee/idle09.png
    frame    data/chars/bosses/lee/idle10.png
    delay    2
    frame    data/chars/bosses/lee/idle11.png
    frame    data/chars/bosses/lee/idle12.png
    frame    data/chars/bosses/lee/idle13.png
    frame    data/chars/bosses/lee/idle14.png
    frame    data/chars/bosses/lee/idle15.png
    @cmd looper 12 4
    frame    data/chars/bosses/lee/idle16.png
    delay    16
    bbox     227 105 30 74
    frame    data/chars/bosses/lee/idle17.png
    frame    data/chars/bosses/lee/idle18.png
    frame    data/chars/bosses/lee/idle19.png
    frame    data/chars/bosses/lee/idle20.png
    frame    data/chars/bosses/lee/idle21.png
    frame    data/chars/bosses/lee/idle22.png
    frame    data/chars/bosses/lee/idle23.png
    frame    data/chars/bosses/lee/idle24.png
    frame    data/chars/bosses/lee/idle25.png

anim walk
    loop    1
    delay    16
    offset    240 180
    bbox 226 100 30 80
    frame    data/chars/bosses/lee/walk00.png
    frame    data/chars/bosses/lee/walk01.png
    frame    data/chars/bosses/lee/walk02.png
    frame    data/chars/bosses/lee/walk03.png
    frame    data/chars/bosses/lee/walk04.png
    frame    data/chars/bosses/lee/walk05.png
    frame    data/chars/bosses/lee/walk06.png
    frame    data/chars/bosses/lee/walk07.png

anim run
    @cmd lockAni "runType" "off"
    cancel 0 3 0 a2 freespecial2
    loop    1 2 7
    delay    7
    offset    240 180
    bbox 226 110 30 70
    frame    data/chars/bosses/lee/run00.png
    frame    data/chars/bosses/lee/run01.png
    bbox 238 114 35 60
    frame    data/chars/bosses/lee/run02.png
    sound    data/sounds/Run.wav
    frame    data/chars/bosses/lee/run03.png
    frame    data/chars/bosses/lee/run04.png
    frame    data/chars/bosses/lee/run05.png
    frame    data/chars/bosses/lee/run06.png
    frame    data/chars/bosses/lee/run07.png
    bbox 223 105 30 75
    frame    data/chars/bosses/lee/run08.png
    bbox 225 109 30 70
    frame    data/chars/bosses/lee/run09.png
    frame    data/chars/bosses/lee/run10.png
    frame    data/chars/bosses/lee/run11.png
    bbox 223 105 30 75
    frame    data/chars/bosses/lee/run12.png
    frame    data/chars/bosses/lee/run13.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/run14.png
    frame    data/chars/bosses/lee/run15.png
    frame    data/chars/bosses/lee/run16.png

anim backrun
    @cmd lockAni "runType" "off"
    cancel 0 3 0 a2 freespecial2
    loop    1 2 7
    delay    7
    offset    240 180
    bbox 226 110 30 70
    frame    data/chars/bosses/lee/run00.png
    frame    data/chars/bosses/lee/run01.png
    bbox 238 114 35 60
    frame    data/chars/bosses/lee/run02.png
    sound    data/sounds/Run.wav
    frame    data/chars/bosses/lee/run03.png
    frame    data/chars/bosses/lee/run04.png
    frame    data/chars/bosses/lee/run05.png
    frame    data/chars/bosses/lee/run06.png
    frame    data/chars/bosses/lee/run07.png
    bbox 223 105 30 75
    frame    data/chars/bosses/lee/run08.png
    bbox 225 109 30 70
    frame    data/chars/bosses/lee/run09.png
    frame    data/chars/bosses/lee/run10.png
    frame    data/chars/bosses/lee/run11.png
    bbox 223 105 30 75
    frame    data/chars/bosses/lee/run12.png
    frame    data/chars/bosses/lee/run13.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/run14.png
    frame    data/chars/bosses/lee/run15.png
    frame    data/chars/bosses/lee/run16.png

anim get
    loop    0
    delay    16
    offset    240 180
    frame    data/chars/bosses/lee/get00.png

anim grab
    loop    0
    delay    16
    offset    240 180
    #bbox 226 105 30 75
    @cmd vaultStuck
    frame    data/chars/bosses/lee/grab00.png

anim grabbed
    loop    0
    delay    8
    offset    240 180
    bbox     226 120 30 60
    sound    data/voices/lee12.wav
    frame    data/chars/bosses/lee/grabbed00.png

anim land
    loop    0
    delay    12
    offset    240 180
    @cmd landSafe
    sound    data/sounds/Jumping.wav
    frame    data/chars/bosses/lee/jump04.png
    frame    data/chars/bosses/lee/jump05.png
    frame    data/chars/bosses/lee/jump06.png
    frame    data/chars/bosses/lee/jump07.png

anim jumpdelay
    loop    0
    delay    12
    offset    240 180
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/jump00.png

anim jump
    loop    0
    delay    8
    offset    240 180
    bbox     226 113 30 66
    sound    data/sounds/Jumping.wav
    frame    data/chars/bosses/lee/jump00.png
    bbox     224 94 30 80
    frame    data/chars/bosses/lee/jump01.png
    bbox     224 95 30 72
    frame    data/chars/bosses/lee/jump02.png
    bbox     224 101 30 60
    frame    data/chars/bosses/lee/jump03.png
    bbox     226 106 30 52
    frame    data/chars/bosses/lee/jump04.png
    bbox     224 95 30 72
    frame    data/chars/bosses/lee/jump05.png
    bbox     224 94 30 80
    frame    data/chars/bosses/lee/jump06.png

anim walkoff
    loop    0
    delay    6
    offset    240 180
    bbox     226 113 30 66
    sound    data/sounds/Jumping.wav
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/fjump00.png
    bbox     224 94 30 80
    frame    data/chars/bosses/lee/fjump01.png
    bbox     224 95 30 72
    frame    data/chars/bosses/lee/fjump02.png
    bbox     224 101 30 60
    frame    data/chars/bosses/lee/fjump03.png
    bbox     226 106 30 52
    frame    data/chars/bosses/lee/fjump04.png
    bbox  0 0 0 0
    frame    data/chars/bosses/lee/fjump05.png
    frame    data/chars/bosses/lee/fjump06.png
    frame    data/chars/bosses/lee/fjump07.png
    frame    data/chars/bosses/lee/fjump08.png
    frame    data/chars/bosses/lee/fjump09.png
    frame    data/chars/bosses/lee/fjump10.png
    bbox     233 93 30 85
    frame    data/chars/bosses/lee/fjump11.png
    @cmd landFrame
    bbox     233 90 30 88
    frame    data/chars/bosses/lee/fjump12.png
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/fjump13.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/fjump14.png

anim jumpland
    loop    0
    delay    12
    offset    240 180
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/jump00.png


anim forwardjump
    loop    0
    delay    5
    offset    240 180
    sound    data/sounds/Jumping.wav
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/fjump00.png
    bbox     224 94 30 80
    frame    data/chars/bosses/lee/fjump01.png
    bbox     224 95 30 72
    frame    data/chars/bosses/lee/fjump02.png
    bbox     224 101 30 60
    frame    data/chars/bosses/lee/fjump03.png
    bbox     226 106 30 52
    frame    data/chars/bosses/lee/fjump04.png
    bbox  0 0 0 0
    frame    data/chars/bosses/lee/fjump05.png
    frame    data/chars/bosses/lee/fjump06.png
    frame    data/chars/bosses/lee/fjump07.png
    frame    data/chars/bosses/lee/fjump08.png
    frame    data/chars/bosses/lee/fjump09.png
    frame    data/chars/bosses/lee/fjump10.png
    bbox     233 93 30 85
    frame    data/chars/bosses/lee/fjump11.png
    @cmd landFrame
    bbox     233 90 30 88
    frame    data/chars/bosses/lee/fjump12.png
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/fjump13.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/fjump14.png


anim runjump
    loop    0
    delay    6
    offset    240 180
    sound    data/sounds/Jumping.wav
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/fjump00.png
    bbox     224 94 30 80
    frame    data/chars/bosses/lee/fjump01.png
    bbox     224 95 30 72
    frame    data/chars/bosses/lee/fjump02.png
    bbox     224 101 30 60
    frame    data/chars/bosses/lee/fjump03.png
    bbox     226 106 30 52
    frame    data/chars/bosses/lee/fjump04.png
    bbox  0 0 0 0
    frame    data/chars/bosses/lee/fjump05.png
    frame    data/chars/bosses/lee/fjump06.png
    frame    data/chars/bosses/lee/fjump07.png
    frame    data/chars/bosses/lee/fjump08.png
    frame    data/chars/bosses/lee/fjump09.png
    frame    data/chars/bosses/lee/fjump10.png
    bbox     233 93 30 85
    frame    data/chars/bosses/lee/fjump11.png
    @cmd landFrame
    bbox     233 90 30 88
    frame    data/chars/bosses/lee/fjump12.png
    bbox     226 113 30 66
    frame    data/chars/bosses/lee/fjump13.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/fjump14.png

anim guardbreak
    loop    0
    delay    6
    offset    240 180
    bbox 226 110 30 70
    sound    data/sounds/GuardBreak.wav
    frame    data/chars/bosses/lee/pain200.png
    bbox 226 115 30 65
    frame    data/chars/bosses/lee/pain201.png
    bbox 226 120 30 60
    frame    data/chars/bosses/lee/pain202.png
    frame    data/chars/bosses/lee/pain203.png
    bbox 226 114 30 65
    frame    data/chars/bosses/lee/pain204.png
    bbox 226 109 30 70
    frame    data/chars/bosses/lee/pain205.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/pain206.png

anim pain #UP
    loop    0
    delay    4
    offset    240 180
    bbox 222 108 30 74
    frame    data/chars/bosses/lee/pain100.png
    bbox 227 105 30 75
    frame    data/chars/bosses/lee/pain101.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/pain102.png
    frame    data/chars/bosses/lee/pain103.png
    frame    data/chars/bosses/lee/pain104.png
    frame    data/chars/bosses/lee/pain105.png
    frame    data/chars/bosses/lee/pain106.png
    frame    data/chars/bosses/lee/pain107.png
    frame    data/chars/bosses/lee/pain108.png

anim pain2 #DOWN
    loop    0
    delay    4
    offset    240 180
    bbox 226 110 30 70
    frame    data/chars/bosses/lee/pain200.png
    bbox 226 115 30 65
    frame    data/chars/bosses/lee/pain201.png
    bbox 226 120 30 60
    frame    data/chars/bosses/lee/pain202.png
    frame    data/chars/bosses/lee/pain203.png
    bbox 226 114 30 65
    frame    data/chars/bosses/lee/pain204.png
    bbox 226 109 30 70
    frame    data/chars/bosses/lee/pain205.png
        bbox 226 105 30 75
    frame    data/chars/bosses/lee/pain206.png

anim fall #NORMAL
    landframe 1
    loop    0
    delay    999
    offset    240 180
    bbox     203 90 90 80
    frame    data/chars/bosses/lee/fall00.png
  delay    12
    sound    data/sounds/Falling.wav
    bbox     221 110 35 55
    frame    data/chars/bosses/lee/fall05.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall06.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall07.png
    bbox     207 145 100 35
    frame    data/chars/bosses/lee/fall08.png
    bbox     207 158 100 25
    frame    data/chars/bosses/lee/fall09.png

anim burn #NORMAL
    landframe 1
    loop    0
    delay    999
    offset    240 180
    bbox     203 90 90 80
    frame    data/chars/bosses/lee/fall00.png
  delay    12
    sound    data/sounds/Falling.wav
    bbox     221 110 35 55
    frame    data/chars/bosses/lee/fall05.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall06.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall07.png
    bbox     207 145 100 35
    frame    data/chars/bosses/lee/fall08.png
    bbox     207 158 100 25
    frame    data/chars/bosses/lee/fall09.png

anim shock #NORMAL
    landframe 1
    loop    0
    delay    999
    offset    240 180
    bbox     203 90 90 80
    frame    data/chars/bosses/lee/fall00.png
  delay    12
    sound    data/sounds/Falling.wav
    bbox     221 110 35 55
    frame    data/chars/bosses/lee/fall05.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall06.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall07.png
    bbox     207 145 100 35
    frame    data/chars/bosses/lee/fall08.png
    bbox     207 158 100 25
    frame    data/chars/bosses/lee/fall09.png

anim fall6 #SPIN FALL
    landframe 4
    loop    1 0 4
    delay    3
    offset    240 180
    frame    data/chars/bosses/lee/fall600.png
    frame    data/chars/bosses/lee/fall601.png
    frame    data/chars/bosses/lee/fall602.png
    frame    data/chars/bosses/lee/fall603.png
    delay    12
    sound    data/sounds/Falling.wav
    frame    data/chars/bosses/lee/fall05.png
    frame    data/chars/bosses/lee/fall06.png
    frame    data/chars/bosses/lee/fall07.png
    frame    data/chars/bosses/lee/fall08.png
    frame    data/chars/bosses/lee/fall09.png


anim fall7 #GRABSTART POSITION
    loop    0
    delay    1000
    offset    240 180
    frame    data/chars/bosses/lee/fall700.png
    frame    data/chars/bosses/lee/fall701.png
    frame    data/chars/bosses/lee/fall702.png
    frame    data/chars/bosses/lee/fall703.png
    frame    data/chars/bosses/lee/fall704.png
    frame    data/chars/bosses/lee/fall705.png

anim fall8 #FINISH/THROW TYPE 3
    landframe 2
    loop    0
    delay    30
    offset    240 180
    bbox     203 90 90 80
    hitfx    data/sounds/MediumKick.wav
    attack 203 90 90 80 4 1 0 0 20 12
    frame    data/chars/bosses/lee/fall00.png
        delay    999
    frame    data/chars/bosses/lee/fall00.png
  delay    12
    sound    data/sounds/Falling.wav
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     221 110 35 55
    frame    data/chars/bosses/lee/fall05.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall06.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall07.png
    bbox     207 145 100 35
    frame    data/chars/bosses/lee/fall08.png
    bbox     207 158 100 25
    frame    data/chars/bosses/lee/fall09.png

anim fall9 #FINISH/THROW TYPE 2
    landframe 2
    loop    0
    delay    30
    offset    240 180
    bbox     52 90 32 35
    hitfx    data/sounds/MediumKick.wav
    attack 203 102 70 70 4 1 0 0 20 12
    frame    data/chars/bosses/lee/fall900.png
        delay    999
    frame    data/chars/bosses/lee/fall900.png
  delay    12
    sound    data/sounds/Falling.wav
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     221 110 35 55
    frame    data/chars/bosses/lee/fall05.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall06.png
    bbox     207 140 100 40
    frame    data/chars/bosses/lee/fall07.png
    bbox     207 145 100 35
    frame    data/chars/bosses/lee/fall08.png
    bbox     207 158 100 25
    frame    data/chars/bosses/lee/fall09.png

anim death
    loop    0
    delay    16
    offset    240 180
    frame    data/chars/bosses/lee/fall06.png
    frame    data/chars/bosses/lee/fall07.png
    frame    data/chars/bosses/lee/fall08.png
    frame    data/chars/bosses/lee/fall09.png

anim rise
    loop    0
    delay    12
    offset    240 180
    @cmd recoverGp
    frame    data/chars/bosses/lee/rise00.png
    frame    data/chars/bosses/lee/rise01.png
    frame    data/chars/bosses/lee/rise02.png
    frame    data/chars/bosses/lee/rise03.png
    delay 2
    frame    data/chars/bosses/lee/rise04.png
    frame    data/chars/bosses/lee/rise05.png
    delay    12
    frame    data/chars/bosses/lee/rise06.png
    frame    data/chars/bosses/lee/rise07.png
    frame    data/chars/bosses/lee/rise08.png
    frame    data/chars/bosses/lee/rise09.png

anim riseattack
    fastattack 1
    jugglecost 0
    forcedirection -1
    otg 1
    loop    0
    delay    3
    offset    240 180
    @cmd invinc 2
    @cmd recoverGp
    sound    data/voices/lee36.wav
    hitfx    data/sounds/StrongPunch.wav
    @cmd dasher 3 0 0
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/s200.png
    bbox 235 105 30 75
    frame    data/chars/bosses/lee/s201.png
    bbox 253 115 30 65
    frame    data/chars/bosses/lee/s202.png
    bbox 253 125 30 55
    frame    data/chars/bosses/lee/s203.png
    delay    5
    @cmd dasher 6 0 0
    bbox 245 135 50 45
    attack 240 120 65 60 7 1 0 0 15 24
    frame    data/chars/bosses/lee/s204.png
    delay    2
    hitfx    data/sounds/Whip2.wav
    @cmd dasher 1 0 0
    bbox 256 123 30 55
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/lee/s205.png
    hitfx    data/sounds/Whip2.wav
    delay    5
    bbox 254 120 30 60
    attack 250 120 65 60 7 1 0 0 15 24
    frame    data/chars/bosses/lee/s206.png
    delay    2
    attack 0 0 0 0 0 0 0 0 0 0
    bbox 250 118 30 60
    frame    data/chars/bosses/lee/s207.png
    hitfx    data/sounds/burn.wav
    delay    5
    burn 235 60 120 120 9 1 0 0 20 24
    frame    data/chars/bosses/lee/s208x.png
    @cmd dasher 0 0 0
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/lee/s209.png
    delay    6
    bbox 250 112 30 67
    frame    data/chars/bosses/lee/s210.png
    bbox 236 109 30 70
    frame    data/chars/bosses/lee/s211.png
    bbox 226 105 30 75
    frame    data/chars/bosses/lee/s212.png
    frame    data/chars/bosses/lee/s213.png

anim attack1
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    2
    offset    240 180
    sound    data/voices/lee03.wav
    bbox 226 106 30 75
    frame    data/chars/bosses/lee/a300.png
    bbox 228 109 30 70
    frame    data/chars/bosses/lee/a301.png
    bbox 246 111 30 70
    frame    data/chars/bosses/lee/a302.png
    sound    data/sounds/HighAttack.wav
    hitfx    data/sounds/HighPunch.wav
    bbox 241 110 30 70
    attack 240 120 70 60 5 0 0 0 25 36
    frame    data/chars/bosses/lee/a303.png
    frame    data/chars/bosses/lee/a304.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/lee/a305.png
    bbox 241 108 30 70
    frame    data/chars/bosses/lee/a306.png
    bbox 226 106 30 75
    frame    data/chars/bosses/lee/a307.png
    frame    data/chars/bosses/lee/a308.png

anim attack2
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    2
    offset    240 180
    sound    data/voices/lee06.wav
    bbox 226 123 30 57
    frame    data/chars/bosses/lee/a400.png
    frame    data/chars/bosses/lee/a401.png
    bbox 226 126 30 54
    frame    data/chars/bosses/lee/a402.png
    sound    data/sounds/LowAttack.wav
    hitfx    data/sounds/LowPunch.wav
    bbox 240 129 30 50
    attack2 240 100 90 80 5 0 0 0 20 36
    frame    data/chars/bosses/lee/a403.png
    frame    data/chars/bosses/lee/a404.png
    bbox 230 127 30 54
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/lee/a405.png
    bbox 234 123 30 57
    frame    data/chars/bosses/lee/a406.png
    bbox 226 123 30 57
    frame    data/chars/bosses/lee/a407.png

anim attack3
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    2
    offset    240 180
    bbox 226 102 30 77
    sound    data/voices/lee04.wav
    frame    data/chars/bosses/lee/a500.png
    frame    data/chars/bosses/lee/a501.png
    frame    data/chars/bosses/lee/a502.png
    hitfx    data/sounds/HighKick.wav
    bbox 222 99 30 80
    attack 240 104 80 75 7 0 0 0 35 24
    frame    data/chars/bosses/lee/a503.png
    sound    data/sounds/HighAttack.wav
    hitfx    data/sounds/HighKick.wav
