##MAIN
name				Sammy_
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png

anim pain #UP
	loop	0
	delay	4
	offset	153 175
	bbox 	132 114 14 63
	frame	data/chars/heroes/sammy/pain00.png
	frame	data/chars/heroes/sammy/pain01.png
	frame	data/chars/heroes/sammy/pain00.png
	frame	data/chars/heroes/sammy/pain01.png
	frame	data/chars/heroes/sammy/pain00.png
	frame	data/chars/heroes/sammy/pain01.png
	frame	data/chars/heroes/sammy/pain00.png
	frame	data/chars/heroes/sammy/pain01.png

anim pain2 #DOWN
	loop	0
	delay	4
	offset	153 175
	bbox 	142 124 14 53
	frame	data/chars/heroes/sammy/pain200.png
	frame	data/chars/heroes/sammy/pain201.png
	frame	data/chars/heroes/sammy/pain200.png
	frame	data/chars/heroes/sammy/pain201.png
	frame	data/chars/heroes/sammy/pain200.png
	frame	data/chars/heroes/sammy/pain201.png
	frame	data/chars/heroes/sammy/pain200.png
	frame	data/chars/heroes/sammy/pain201.png

anim fall #NORMAL
	landframe 1
	loop	0
	delay	999
	offset	153 175
	bbox 	127 128 33 29
	frame	data/chars/heroes/sammy/fall00.png
		delay	8
	bbox 	116 152 66 24
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/sammy/fall01.png

anim burn #BURNED FALL
	landframe 1
	loop	0
	delay	999
	offset	153 175
	bbox 	127 128 33 29
	frame	data/chars/heroes/sammy/fall00.png
		delay	8
	bbox 	116 152 66 24
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/sammy/fall01.png

anim shock #SHOCKED FALL
	landframe 1
	loop	0
	delay	999
	offset	153 175
	bbox 	127 128 33 29
	frame	data/chars/heroes/sammy/fall00.png
		delay	8
	bbox 	116 152 66 24
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/sammy/fall01.png

anim fall6 #SPIN FALL
	landframe 4
	loop	1 0 4
	delay	3
	offset	153 175
	frame	data/chars/heroes/sammy/fall600.png
	frame	data/chars/heroes/sammy/fall601.png
	frame	data/chars/heroes/sammy/fall602.png
	frame	data/chars/heroes/sammy/fall603.png
		delay	8
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/sammy/fall01.png

anim fall7 #GRABSTART POSITION
	loop	0
	delay	1000
	offset	153 175
	frame	data/chars/heroes/sammy/fall700.png
	frame	data/chars/heroes/sammy/fall701.png
	frame	data/chars/heroes/sammy/fall702.png
	frame	data/chars/heroes/sammy/fall703.png
	frame	data/chars/heroes/sammy/fall704.png
	frame	data/chars/heroes/sammy/fall705.png

anim fall8 #FINISH/THROW TYPE 3
	landframe 2
	loop	0
	delay	30
	offset	153 175
	bbox 	127 128 33 29
	hitfx	data/sounds/MediumKick.wav
	attack 127 128 33 29 4 1 0 0 20 12
	frame	data/chars/heroes/sammy/fall00.png
		delay	999
	@cmd cancelFall 50 "ANI_LAND"
	frame	data/chars/heroes/sammy/fall00.png
		delay	8
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	116 152 66 24
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/sammy/fall01.png

anim fall9 #FINISH/THROW TYPE 2
	landframe 2
	loop	0
	delay	30
	offset	153 175
	bbox 	144 121 14 54
	hitfx	data/sounds/MediumKick.wav
	attack 144 121 14 54 4 1 0 0 20 12
	frame	data/chars/heroes/sammy/fall900.png
		delay	999
	@cmd cancelFall 50 "ANI_LAND"
	frame	data/chars/heroes/sammy/fall900.png
		delay	8
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	116 152 66 24
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/sammy/fall01.png

anim death
	loop	0
	delay	16
	offset	153 175
	frame	data/chars/heroes/sammy/fall01.png
	frame	data/chars/heroes/sammy/fall01.png
	frame	data/chars/heroes/sammy/fall01.png

anim rise
	loop	0
	delay	16
	offset	153 175
	frame	data/chars/heroes/sammy/rise00.png
	frame	data/chars/heroes/sammy/rise01.png
	frame	data/chars/heroes/sammy/rise00.png
	frame	data/chars/heroes/sammy/rise02.png

anim riseattack
	range 60 120
	loop	0
	delay	2
	offset	153 175
	@cmd flipRandom
	@cmd antiHole 120 "flip"
	@cmd invinc 2
	@cmd dasher 2 0 0
	@cmd copyMove
	frame	data/chars/heroes/sammy/dodge00.png
		delay	8
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge01.png
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge02.png
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge03.png
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge04.png
		delay	16
	@cmd dasher 0 0 0
	frame	data/chars/heroes/sammy/dodge05.png

anim attack1
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	153 175
	bbox 	145 112 15 65
	hitfx	data/sounds/LowPunch.wav
	sound	data/sounds/LowAttack.wav
	#attack 62 61 999 999 99999 0 0 0 5 999 #DEBUG TEST
	frame	data/chars/heroes/sammy/a100.png
	attack 159 125 31 10 2 0 0 0 5 12
	bbox 	145 117 15 60
	frame	data/chars/heroes/sammy/a101.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	145 112 15 65
	frame	data/chars/heroes/sammy/a100.png

anim attack2
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	153 175
	bbox 	138 125 15 52
	hitfx	data/sounds/MediumPunch.wav
	sound	data/sounds/MediumAttack.wav
	frame	data/chars/heroes/sammy/a200.png
	attack 145 135 47 24 4 0 0 0 10 12
	bbox 	128 135 19 42
	frame	data/chars/heroes/sammy/a201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/a201.png
	bbox 	138 125 15 52
	frame	data/chars/heroes/sammy/a202.png
	bbox 	144 130 17 47
	frame	data/chars/heroes/sammy/a203.png

anim attack3
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	6
	offset	153 175
	bbox 	147 128 17 49
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/a300.png
	attack2 147 137 42 16 4 0 0 0 15 12
	bbox 	144 116 18 61
	frame	data/chars/heroes/sammy/a301.png
	hitfx	data/sounds/HighKick.wav
	@cmd rageCancel 20 60 0 0 30 "ANI_FREESPECIAL" "hit"
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/a301.png
	attack 155 107 41 36 8 1 0 0 15 12
	bbox 	144 106 21 32
	frame	data/chars/heroes/sammy/a302.png
	attack 128 105 44 21 8 1 0 0 15 12
	bbox 	143 116 21 33
	frame	data/chars/heroes/sammy/a303.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 119 27 26
	frame	data/chars/heroes/sammy/a304.png
	bbox 	136 124 29 27
	frame	data/chars/heroes/sammy/a305.png
		delay	12
	bbox 	144 130 17 47
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/sammy/a306.png

anim grabattack #GRAB KICK
	attackone 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	153 175
	bbox 	128 122 22 29
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/grabatk00.png
	bbox 	120 87 34 23
	sound	data/voices/Sammy2.wav
	frame	data/chars/heroes/sammy/grabatk01.png
		delay	6
	attack2 137 133 42 15 4 0 0 0 10 12
	bbox 	132 120 26 26
	frame	data/chars/heroes/sammy/grabatk02.png
	attack 0 0 0 0 0 0 0 0 0 0
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/heroes/sammy/grabatk02.png
	@cmd leaper 0 1.5 0
	attack 163 108 34 33 8 1 0 0 10 12
	bbox 	141 123 35 25
	frame	data/chars/heroes/sammy/grabatk03.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	143 116 21 31
	frame	data/chars/heroes/sammy/grabatk04.png
		delay	2
	bbox 	128 119 27 26
	frame	data/chars/heroes/sammy/grabatk05.png
	@cmd landFrame
		delay	12
	bbox 	144 130 17 47
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/sammy/grabatk06.png

anim grabattack2 #VAULT FRONT TO BACK
	#@cmd invinc 1
	loop	0
	delay	8
	offset	110 240
	frame	data/chars/heroes/sammy/vault00.png
	frame	data/chars/heroes/sammy/vault01.png
	frame	data/chars/heroes/sammy/vault02.png
	frame	data/chars/heroes/sammy/vault03.png
	frame	data/chars/heroes/sammy/vault04.png
		delay	2
		offset	153 175
	@cmd vaultFix
	frame	data/chars/heroes/sammy/grab00.png
	@cmd cancelVault "ANI_GRABDOWN2"
	bbox 	141 111 12 66
	frame	data/chars/heroes/sammy/grab00.png

anim grabup2 #VAULT BACK TO FRONT
	#@cmd invinc 1
	loop	0
	delay	8
	offset	110 240
	frame	data/chars/heroes/sammy/vault00.png
	frame	data/chars/heroes/sammy/vault01.png
	frame	data/chars/heroes/sammy/vault02.png
	frame	data/chars/heroes/sammy/vault03.png
	frame	data/chars/heroes/sammy/vault04.png
		delay	2
		offset	153 175
	@cmd vaultFix
	frame	data/chars/heroes/sammy/idle00.png
	bbox 	144 115 15 62
	frame	data/chars/heroes/sammy/idle00.png

anim grabforward #HEADBUTT
	attackone 0
	fastattack 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	153 175
	bbox 	142 115 16 62
	hitfx	data/sounds/LowPunch.wav
	sound	data/sounds/LowAttack.wav
	frame	data/chars/heroes/sammy/fgrabatk00.png
	attack2 149 115 24 23 2 0 0 0 10 12
	bbox 	142 120 12 57
	frame	data/chars/heroes/sammy/fgrabatk01.png

anim grabforward2 #PUNCH
	attackone 0
	fastattack 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	153 175
	bbox 	137 111 14 66
	hitfx	data/sounds/MediumPunch.wav
	sound	data/sounds/MediumAttack.wav
	frame	data/chars/heroes/sammy/fgrabatk200.png
	attack 151 113 23 19 4 1 0 0 20 12
	bbox 	145 112 14 65
	frame	data/chars/heroes/sammy/fgrabatk201.png

anim grabdown2 #HEAD PUNCHES
	attackone 0
	fastattack 1
	forcedirection 1
	otg 1
	loop	0
	delay	3
	offset	153 215
	bbox 	117 77 29 26
	#@cmd invinc 1
	hitfx	data/sounds/MediumPunch.wav
		move	14
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	136 127 16 32
	sound	data/voices/Sammy2.wav
	frame	data/chars/heroes/sammy/headpunch00.png
		move	0
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/headpunch00.png
	bbox 	132 127 14 32
	frame	data/chars/heroes/sammy/headpunch01.png
	attack2 153 137 21 21 9 0 0 0 20 24
	seal 1 1
	bbox 	141 131 16 27
	frame	data/chars/heroes/sammy/headpunch02.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	131 125 15 33
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/headpunch03.png
	bbox 	135 124 17 34
	frame	data/chars/heroes/sammy/headpunch04.png
	attack2 153 137 21 21 9 0 0 0 20 24
	seal 1 1
	bbox 	141 127 18 31
	frame	data/chars/heroes/sammy/headpunch05.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	136 127 16 32
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/headpunch00.png
	bbox 	132 127 14 32
	frame	data/chars/heroes/sammy/headpunch01.png
	attack2 153 137 21 21 9 0 0 0 20 24
	seal 1 1
	bbox 	141 131 16 27
	frame	data/chars/heroes/sammy/headpunch02.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	131 125 15 33
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/headpunch03.png
	bbox 	135 124 17 34
	frame	data/chars/heroes/sammy/headpunch04.png
	attack2 153 137 21 21 9 0 0 0 20 24
	seal 1 1
	bbox 	141 127 18 31
	frame	data/chars/heroes/sammy/headpunch05.png
	attack 0 0 0 0 0 0 0 0 0 0
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/headpunch00.png
	bbox 	132 127 14 32
	frame	data/chars/heroes/sammy/headpunch01.png
	attack2 153 137 21 21 9 0 0 0 20 24
	seal 1 1
	bbox 	141 131 16 27
	frame	data/chars/heroes/sammy/headpunch02.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	131 125 15 33
	hitfx	data/sounds/HighPunch.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/headpunch03.png
	bbox 	135 124 17 34
	frame	data/chars/heroes/sammy/headpunch04.png
	attack2 153 137 21 21 20 1 0 0 20 24
	seal 1 1
	bbox 	141 127 18 31
	frame	data/chars/heroes/sammy/headpunch05.png

anim jumpattack #JUMP STATIC/FORWARD
	range 60 90
	rangea 1 100
	rangez -999 999
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	153 175
	bbox 	146 111 13 47
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/Jumping.wav
	@cmd antiHole 120 "reset"
	@cmd targetJump
	@cmd leapJump
	frame	data/chars/heroes/sammy/jump00.png
	bbox 	145 122 16 47
	frame	data/chars/heroes/sammy/jump01.png
	bbox 	133 114 20 39
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/fjumpatk00.png
	attack 138 138 57 19 4 1 0 0 20 12
	sound	data/voices/Sammy2.wav
	frame	data/chars/heroes/sammy/fjumpatk01.png

anim jumpattack2 #JUMP DOWN
	range 60 90
	rangea 0 0
	rangez -999 999
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	153 175
	bbox 	146 111 13 47
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/Jumping.wav
	@cmd antiHole 120 "reset"
	@cmd targetJump
	@cmd leapJump
	frame	data/chars/heroes/sammy/jump00.png
	bbox 	145 122 16 47
	frame	data/chars/heroes/sammy/jump01.png
	bbox 	131 131 29 27
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/jumpatk200.png
	attack 136 150 24 27 4 0 0 0 20 12
	sound	data/voices/Sammy2.wav
	frame	data/chars/heroes/sammy/jumpatk200.png

anim special #DEFENSIVE SPECIAL
	fastattack 1
	jugglecost 1
	forcedirection 0
	otg 1
	energycost 10 1 6
	@cmd healStart
	loop	0
	delay	8
	offset	153 175
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/heroes/sammy/special00.png
		delay	6
	attack 127 128 42 32 24 1 0 0 20 12
	dropv 4 1 0
	sound	data/sounds/Whoosh4.wav
	frame	data/chars/heroes/sammy/special01.png
	attack 111 143 78 24 24 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special02.png
	attack 116 130 65 37 24 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special03.png
	attack 110 133 82 28 24 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special04.png
	attack 127 128 42 32 24 1 0 0 20 12
	dropv 4 1 0
	sound	data/sounds/Whoosh4.wav
	frame	data/chars/heroes/sammy/special01.png
	attack 111 143 78 24 24 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special02.png
	attack 116 130 65 37 24 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special03.png
	attack 110 133 82 28 24 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special04.png
		delay	8
	frame	data/chars/heroes/sammy/special05.png

anim special2 #DEFENSIVE SPECIAL
	fastattack 1
	jugglecost 1
	forcedirection 0
	otg 1
	energycost 10 1 6
	@cmd healStart
	loop	0
	delay	8
	offset	153 175
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/heroes/sammy/special00.png
		delay	6
	attack 127 128 42 32 16 1 0 0 20 12
	dropv 4 1 0
	sound	data/sounds/Whoosh4.wav
	frame	data/chars/heroes/sammy/special01.png
	attack 111 143 78 24 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special02.png
	attack 116 130 65 37 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special03.png
	attack 110 133 82 28 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special04.png
	attack 127 128 42 32 16 1 0 0 20 12
	dropv 4 1 0
	sound	data/sounds/Whoosh4.wav
	frame	data/chars/heroes/sammy/special01.png
	attack 111 143 78 24 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special02.png
	attack 116 130 65 37 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special03.png
	attack 110 133 82 28 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/sammy/special04.png
		delay	8
	frame	data/chars/heroes/sammy/special05.png

anim freespecial #GROUND RAGE
	range 40 60
	rangea 0 0
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	energycost 60 1 6
	hitflash BloodHit
	loop	0
	delay	20
	offset	153 175
	hitfx	data/sounds/Cutter.wav
	sound	data/voices/Sammy4.wav
	@cmd spawnBind "Rage" 0 0 -1
	frame	data/chars/heroes/sammy/rage00.png
		delay	6
	@cmd leaper 0 6 0
	frame	data/chars/heroes/sammy/rage01.png
	frame	data/chars/heroes/sammy/rage02.png
		delay	1
	@cmd leaper 4 -2 0
	attack 156 143 30 30 12 0 0 0 10 12
	seal 1 1
	frame	data/chars/heroes/sammy/rage03.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/rage03.png
	attack 156 143 30 30 12 0 0 0 10 12
	seal 1 1
	frame	data/chars/heroes/sammy/rage04.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/rage04.png
	attack 156 143 30 30 12 0 0 0 10 12
	seal 1 1
	frame	data/chars/heroes/sammy/rage05.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/rage05.png
	attack 156 143 30 30 12 1 0 0 10 12
	seal 1 1
	frame	data/chars/heroes/sammy/rage06.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/rage06.png
	@cmd landFrame 8
		delay	12
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/sammy/jumpland00.png

anim freespecial2 #SUPER
	range 30 60
	rangea 0 80
	rangez -8 8
	fastattack 1
	forcedirection -1
	otg 1
	energycost 10 1 6
	loop	0
	delay	6
	offset	153 175
	bbox 	147 128 17 49
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/a300.png
	attack2 147 137 42 16 5 0 0 0 30 12
	bbox 	144 116 18 61
	frame	data/chars/heroes/sammy/a301.png
	hitfx	data/sounds/HighKick.wav
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/a301.png
	sound	data/voices/Sammy2.wav
	attack 155 107 41 36 9 1 0 0 25 12
	bbox 	144 106 21 32
	@cmd shoot "Adam_Wave" 35 60 0 1 0 0
	frame	data/chars/heroes/sammy/a302.png
	attack 128 105 44 21 9 1 0 0 20 12
	bbox 	143 116 21 33
	frame	data/chars/heroes/sammy/a303.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 119 27 26
	frame	data/chars/heroes/sammy/a304.png
	bbox 	136 124 29 27
	frame	data/chars/heroes/sammy/a305.png
		delay	12
	bbox 	144 130 17 47
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/sammy/a306.png

anim freespecial3 #BLITZ
	range 40 80
	rangea 0 0
	rangez -24 24
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	1 2 6
	delay	8
	offset	153 175
	hitfx	data/sounds/HighPunch.wav
	sound	data/sounds/SpecialAttack.wav
	frame	data/chars/heroes/sammy/runatk00.png
	sound	data/voices/Sammy2.wav
	@cmd target 3.2 1.6
	@cmd leapTarget 2.6
	attack 148 122 32 25 16 1 0 0 20 12
	frame	data/chars/heroes/sammy/runatk01.png
		delay	4
	@cmd jump 1
	attack 140 140 24 24 16 1 0 0 20 12
	bbox 	140 140 24 24
	frame	data/chars/heroes/sammy/jump02.png
	frame	data/chars/heroes/sammy/jump03.png
	frame	data/chars/heroes/sammy/jump04.png
	frame	data/chars/heroes/sammy/jump05.png

anim freespecial4 #OFFENSIVE SPECIAL
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	energycost 10 1 6
	@cmd healStart
	loop	0
	delay	2
	offset	153 175
	bbox 	145 110 14 67
	hitfx	data/sounds/HighPunch.wav
	sound	data/voices/Sammy3.wav
	frame	data/chars/heroes/sammy/special200.png
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special200.png
	attack 144 103 38 42 9 0 0 20 12
	bbox 	147 111 12 66
	frame	data/chars/heroes/sammy/special201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special201.png
	attack 158 105 30 28 9 0 0 20 12
	bbox 	147 112 12 65
	frame	data/chars/heroes/sammy/special202.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special202.png
	bbox 	147 110 12 67
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special203.png
	attack 142 105 38 40 9 0 0 20 12
	frame	data/chars/heroes/sammy/special204.png
	attack 0 0 0 0 0 0 0 0 0 0
