##MAIN
name				Blaze_
	frame	data/chars/heroes/blaze/grabbed01.png

anim pain #UP
	loop	0
	delay	4
	offset	127 179
	bbox 	115 116 23 65
	frame	data/chars/heroes/blaze/pain00.png
	frame	data/chars/heroes/blaze/pain01.png
	frame	data/chars/heroes/blaze/pain00.png
	frame	data/chars/heroes/blaze/pain01.png
	frame	data/chars/heroes/blaze/pain00.png
	frame	data/chars/heroes/blaze/pain01.png
	frame	data/chars/heroes/blaze/pain00.png
	frame	data/chars/heroes/blaze/pain01.png

anim pain2 #DOWN
	loop	0
	delay	4
	offset	127 179
	bbox 	109 117 18 63
	frame	data/chars/heroes/blaze/pain200.png
	frame	data/chars/heroes/blaze/pain201.png
	frame	data/chars/heroes/blaze/pain200.png
	frame	data/chars/heroes/blaze/pain201.png
	frame	data/chars/heroes/blaze/pain200.png
	frame	data/chars/heroes/blaze/pain201.png
	frame	data/chars/heroes/blaze/pain200.png
	frame	data/chars/heroes/blaze/pain201.png

anim fall #NORMAL
	landframe 1
	loop	0
	delay	999
	offset	127 179
	bbox 	104 121 41 29
	frame	data/chars/heroes/blaze/fall00.png
		delay	8
	bbox 	92 159 75 22
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/blaze/fall01.png

anim burn #BURNED FALL
	landframe 1
	loop	0
	delay	999
	offset	127 179
	bbox 	104 121 41 29
	frame	data/chars/heroes/blaze/fall00.png
		delay	8
	bbox 	92 159 75 22
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/blaze/fall01.png

anim shock #SHOCKED FALL
	landframe 1
	loop	0
	delay	999
	offset	127 179
	bbox 	104 121 41 29
	frame	data/chars/heroes/blaze/fall00.png
		delay	8
	bbox 	92 159 75 22
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/blaze/fall01.png

anim fall6 #SPIN FALL
	landframe 4
	loop	1 0 4
	delay	3
	offset	127 179
	frame	data/chars/heroes/blaze/fall600.png
	frame	data/chars/heroes/blaze/fall601.png
	frame	data/chars/heroes/blaze/fall602.png
	frame	data/chars/heroes/blaze/fall603.png
		delay	8
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/blaze/fall01.png

anim fall7 #GRABSTART POSITION
	loop	0
	delay	1000
	offset	127 179
	frame	data/chars/heroes/blaze/fall700.png
	frame	data/chars/heroes/blaze/fall701.png
	frame	data/chars/heroes/blaze/fall702.png
	frame	data/chars/heroes/blaze/fall703.png
	frame	data/chars/heroes/blaze/fall704.png
	frame	data/chars/heroes/blaze/fall705.png

anim fall8 #FINISH/THROW TYPE 3
	landframe 2
	loop	0
	delay	30
	offset	127 179
	bbox 	104 121 41 29
	hitfx	data/sounds/MediumKick.wav
	attack 104 121 41 29 4 1 0 0 20 12
	frame	data/chars/heroes/blaze/fall00.png
		delay	999
	@cmd cancelFall 50 "ANI_LAND"
	frame	data/chars/heroes/blaze/fall00.png
		delay	8
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	92 159 75 22
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/blaze/fall01.png

anim fall9 #FINISH/THROW TYPE 2
	landframe 2
	loop	0
	delay	30
	offset	127 179
	bbox 	122 122 18 51
	hitfx	data/sounds/MediumKick.wav
	attack 122 122 18 51 4 1 0 0 20 12
	frame	data/chars/heroes/blaze/fall900.png
		delay	999
	@cmd cancelFall 50 "ANI_LAND"
	frame	data/chars/heroes/blaze/fall900.png
		delay	8
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	92 159 75 22
	sound	data/sounds/Falling.wav
	frame	data/chars/heroes/blaze/fall01.png

anim death
	loop	0
	delay	16
	offset	127 179
	frame	data/chars/heroes/blaze/fall01.png
	frame	data/chars/heroes/blaze/fall01.png
	frame	data/chars/heroes/blaze/fall01.png

anim rise
	loop	0
	delay	16
	offset	127 179
	frame	data/chars/heroes/blaze/rise00.png
	frame	data/chars/heroes/blaze/rise01.png
	frame	data/chars/heroes/blaze/rise00.png
	frame	data/chars/heroes/blaze/rise02.png

anim riseattack
	range 60 120
	loop	0
	delay	2
	offset	127 179
	@cmd flipRandom
	@cmd antiHole 120 "flip"
	@cmd invinc 2
	@cmd dasher 2 0 0
	@cmd copyMove
	frame	data/chars/heroes/blaze/dodge00.png
		delay	8
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge01.png
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge02.png
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge03.png
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge04.png
		delay	16
	@cmd dasher 0 0 0
	frame	data/chars/heroes/blaze/dodge05.png

anim attack1
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	127 179
	bbox 	119 112 16 69
	hitfx	data/sounds/LowPunch.wav
	sound	data/sounds/LowAttack.wav
	frame	data/chars/heroes/blaze/a100.png
	attack 137 125 35 10 2 0 0 0 10 12
	bbox 	127 116 17 65
	frame	data/chars/heroes/blaze/a101.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	119 112 16 69
	frame	data/chars/heroes/blaze/a100.png

anim attack2
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	127 179
	bbox 	118 111 19 70
	hitfx	data/sounds/MediumPunch.wav
	sound	data/sounds/MediumAttack.wav
	frame	data/chars/heroes/blaze/a200.png
	attack 129 118 26 15 4 0 0 0 10 12
	bbox 	130 111 13 70
	frame	data/chars/heroes/blaze/a201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/a201.png
	attack 148 120 35 15 4 0 0 0 10 12
	bbox 	154 117 19 64
	frame	data/chars/heroes/blaze/a202.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	142 107 16 74
	frame	data/chars/heroes/blaze/a203.png

anim attack3
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	6
	offset	127 179
	bbox 	127 108 16 73
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/blaze/a300.png
	attack2 154 130 20 50 10 0 0 0 30 18
	bbox 	147 108 14 73
	frame	data/chars/heroes/blaze/a301.png
	hitfx	data/sounds/HighKick.wav
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/a301.png
	attack 154 120 40 60 5 1 0 0 25 18
	frame	data/chars/heroes/blaze/a302.png
	delay 4
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/a302.png
		delay	18
	@cmd rageCancel 20 80 0 100 30 "ANI_FREESPECIAL" "hit"
	attack 154 100 40 80 5 1 0 0 25 18
	frame	data/chars/heroes/blaze/a303.png
		delay	6
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/a302.png
	frame	data/chars/heroes/blaze/a301.png

anim grabattack #FRONT SLAM
	loop	0
	delay	26
	offset	127 179
	@cmd grabStart
	@cmd position 1 6 0 0 0
	sound	data/voices/Blaze2.wav
	frame	data/chars/heroes/blaze/grabatk00.png
		delay	14
	@cmd position 3 12 6 0 0
	frame	data/chars/heroes/blaze/grabatk01.png
	@cmd position 4 40 -1 0 0
	@cmd spawn01 "QuakeHigh" 0 0 0
	sound	data/sounds/Slam.wav
	frame	data/chars/heroes/blaze/grabatk02.png
		delay	16
	@cmd leaper -1 2 0
	@cmd slam 12 2 -1 3 0 0
	frame	data/chars/heroes/blaze/grabatk03.png
	frame	data/chars/heroes/blaze/grabatk04.png
	@cmd landFrame
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/blaze/grabatk05.png
	@cmd clearL
	frame	data/chars/heroes/blaze/grabatk05.png

anim grabattack2 #VAULT FRONT TO BACK
	loop	0
	delay	8
	offset	105 238
	frame	data/chars/heroes/blaze/vault00.png
	frame	data/chars/heroes/blaze/vault01.png
	frame	data/chars/heroes/blaze/vault02.png
	frame	data/chars/heroes/blaze/vault03.png
	frame	data/chars/heroes/blaze/vault04.png
		delay	2
		offset	127 179
	@cmd vaultFix
	frame	data/chars/heroes/blaze/grab00.png
	@cmd cancelVault "ANI_GRABDOWN2"
	bbox 	114 105 11 76
	frame	data/chars/heroes/blaze/grab00.png

anim grabup2 #VAULT BACK TO FRONT
	loop	0
	delay	8
	offset	105 238
	frame	data/chars/heroes/blaze/vault00.png
	frame	data/chars/heroes/blaze/vault01.png
	frame	data/chars/heroes/blaze/vault02.png
	frame	data/chars/heroes/blaze/vault03.png
	frame	data/chars/heroes/blaze/vault04.png
		delay	2
		offset	127 179
	@cmd vaultFix
	frame	data/chars/heroes/blaze/idle00.png
	bbox 	117 109 19 72
	frame	data/chars/heroes/blaze/idle00.png

anim grabforward #KNEE
	attackone 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	127 179
	bbox 	113 107 16 74
	hitfx	data/sounds/LowKick.wav
	sound	data/sounds/LowAttack.wav
	attack2 116 122 24 29 2 0 0 0 15 12
	frame	data/chars/heroes/blaze/fgrabatk00.png

anim grabforward2 #PUNCH
	attackone 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	127 179
	bbox 	116 109 16 72
	hitfx	data/sounds/HighPunch.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/blaze/fgrabatk200.png
	bbox 	109 109 17 72
	frame	data/chars/heroes/blaze/fgrabatk201.png
		delay	12
	attack 145 116 23 20 8 1 0 0 20 12
	bbox 	140 112 14 69
	frame	data/chars/heroes/blaze/fgrabatk202.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	136 120 18 61
	frame	data/chars/heroes/blaze/fgrabatk203.png

anim grabbackward #THROW
	loop	0
	delay	24
	offset	127 179
	@cmd grabStart
	@cmd position 0 8 0 0 0
	sound	data/voices/Blaze2.wav
	frame	data/chars/heroes/blaze/throw00.png
		delay	8
	@cmd position 5 0 8 0 0
	frame	data/chars/heroes/blaze/throw01.png
	@cmd position 4 -40 12 0 -1
	frame	data/chars/heroes/blaze/throw02.png
	@cmd position 4 -60 12 0 0
	frame	data/chars/heroes/blaze/throw03.png
		delay	16
	@cmd throw 12 2 2 2.5 0 0
	frame	data/chars/heroes/blaze/throw03.png
		delay	8
	@cmd clearL
	frame	data/chars/heroes/blaze/throw01.png

anim grabdown2 #BACK SLAM
	loop	0
	delay	24
	offset	127 179
	@cmd grabStart
	@cmd position 0 4 0 0 1
	sound	data/voices/Blaze2.wav
	frame	data/chars/heroes/blaze/slam00.png
		delay	8
	@cmd position 5 -8 5 0 0
	frame	data/chars/heroes/blaze/slam01.png
	@cmd position 4 -35 25 0 0
	frame	data/chars/heroes/blaze/slam02.png
		delay	12
	@cmd position 4 -60 -1 0 0
	@cmd spawn01 "QuakeHigh" 0 0 0
	sound	data/sounds/Slam.wav
	frame	data/chars/heroes/blaze/slam03.png
		delay	16
	@cmd slam 12 2 -2 2 0 0
	frame	data/chars/heroes/blaze/slam03.png
		delay	8
	@cmd clearL
	frame	data/chars/heroes/blaze/slam02.png

anim jumpattack #JUMP STATIC/FORWARD
	range 70 100
	rangea -100 100
	rangez -999 999
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	1 6 9
	delay	8
	offset	127 179
	bbox 	121 107 16 52
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/Jumping.wav
	@cmd antiHole 120 "reset"
	@cmd targetJump
	@cmd leapJump
	frame	data/chars/heroes/blaze/jump00.png
	frame	data/chars/heroes/blaze/jump01.png
		delay	6
	bbox 	117 115 28 28
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/blaze/fjumpatk00.png
		delay	3
	attack 121 131 68 24 4 1 0 0 20 12
	bbox 	111 118 38 28
	sound	data/voices/Blaze2.wav
	frame	data/chars/heroes/blaze/fjumpatk01.png
	frame	data/chars/heroes/blaze/fjumpatk02.png
	frame	data/chars/heroes/blaze/fjumpatk03.png
	frame	data/chars/heroes/blaze/fjumpatk01.png
	frame	data/chars/heroes/blaze/fjumpatk02.png
	frame	data/chars/heroes/blaze/fjumpatk03.png

anim jumpattack2 #JUMP DOWN
	range 50 75
	rangea -100 100
	rangez -999 999
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	127 179
	bbox 	121 107 16 52
	hitfx	data/sounds/HighPunch.wav
	sound	data/sounds/Jumping.wav
	@cmd antiHole 120 "reset"
	@cmd targetJump
	@cmd leapJump
	frame	data/chars/heroes/blaze/jump00.png
	frame	data/chars/heroes/blaze/jump01.png
	bbox 	114 118 21 40
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/blaze/jumpatk200.png
	attack 129 134 30 24 4 0 0 0 20 12
	sound	data/voices/Blaze2.wav
	frame	data/chars/heroes/blaze/jumpatk200.png

anim special #DEFENSIVE SPECIAL
	fastattack 1
	jugglecost 1
	forcedirection 0
	otg 1
	energycost 10 1 6
	@cmd healStart
	loop	0
	delay	10
	offset	127 179
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/SpecialAttack4.wav
	frame	data/chars/heroes/blaze/special00.png
	frame	data/chars/heroes/blaze/special01.png
	frame	data/chars/heroes/blaze/special02.png
		delay	5
	attack 120 105 49 63 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/blaze/special03.png
	attack 103 95 46 53 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/blaze/special04.png
	@cmd leaper -1 2 0
	attack 97 93 43 49 16 1 0 0 20 12
	frame	data/chars/heroes/blaze/special05.png
	attack 88 133 41 47 16 1 0 0 20 12
	frame	data/chars/heroes/blaze/special06.png
	attack 103 141 44 35 16 1 0 0 20 12
	frame	data/chars/heroes/blaze/special07.png
		delay 2
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special08.png
	@cmd landFrame
		delay	12
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/blaze/jumpland00.png

anim special2 #DEFENSIVE SPECIAL
	fastattack 1
	jugglecost 1
	forcedirection 0
	otg 1
	energycost 10 1 6
	@cmd healStart
	loop	0
	delay	10
	offset	127 179
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/SpecialAttack4.wav
	frame	data/chars/heroes/blaze/special00.png
	frame	data/chars/heroes/blaze/special01.png
	frame	data/chars/heroes/blaze/special02.png
		delay	5
	attack 120 105 49 63 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/blaze/special03.png
	attack 103 95 46 53 16 1 0 0 20 12
	dropv 4 1 0
	frame	data/chars/heroes/blaze/special04.png
	@cmd leaper -1 2 0
	attack 97 93 43 49 16 1 0 0 20 12
	frame	data/chars/heroes/blaze/special05.png
	attack 88 133 41 47 16 1 0 0 20 12
	frame	data/chars/heroes/blaze/special06.png
	attack 103 141 44 35 16 1 0 0 20 12
	frame	data/chars/heroes/blaze/special07.png
		delay 2
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special08.png
	@cmd landFrame
		delay	12
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/blaze/jumpland00.png

anim freespecial #RAGE
	range 60 80
	rangea 0 0
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	energycost 30 1 6
	loop	0
	delay	20
	offset	127 179
	sound	data/voices/Blaze4.wav
	@cmd spawnBind "Rage" -10 0 -1
	frame	data/chars/heroes/blaze/rage00.png
		delay	3
	frame	data/chars/heroes/blaze/rage01.png
	frame	data/chars/heroes/blaze/rage02.png
	frame	data/chars/heroes/blaze/rage03.png
	@cmd shootBind "Blaze_Orb" 55 40 0 "dual"
	frame	data/chars/heroes/blaze/rage04.png
	frame	data/chars/heroes/blaze/rage05.png
	frame	data/chars/heroes/blaze/rage06.png
	frame	data/chars/heroes/blaze/rage04.png
	frame	data/chars/heroes/blaze/rage05.png
	frame	data/chars/heroes/blaze/rage06.png
	@cmd looParent 7
	frame	data/chars/heroes/blaze/rage07.png
		delay	16
	frame	data/chars/heroes/blaze/rage07.png

anim freespecial2 #SUPER
	range 40 60
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	127 179
	hitfx	data/sounds/LowKick.wav
	sound	data/sounds/SpecialAttack.wav
	attack2 97 93 43 49 25 0 0 0 35 12
	bbox 	115 121 21 60
	frame	data/chars/heroes/blaze/counter04.png
	delay	9
	@cmd dasher 2.5 0 0
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/counter05.png
	@cmd dasher 1.5 0 0
	attack 103 141 44 35 30 1 0 0 35 12
	bbox 	115 121 21 60
	frame	data/chars/heroes/blaze/counter05.png
	delay	16
	dropv 4 0 0
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd dasher 0.5 0 0
	bbox 	115 121 21 60
	frame	data/chars/heroes/blaze/counter05.png

anim freespecial3 #BLITZ
	range 40 60
	rangea 0 100
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	10
	offset	127 179
	hitfx	data/sounds/StrongPunch.wav
	sound	data/sounds/SpecialAttack.wav
	frame	data/chars/heroes/blaze/runatk00.png
	sound	data/voices/Blaze3.wav
	frame	data/chars/heroes/blaze/runatk01.png
		delay	5
	@cmd leaper 1.5 2.5 0
	frame	data/chars/heroes/blaze/runatk02.png
	attack 139 139 28 36 2 0 0 0 20 12
	frame	data/chars/heroes/blaze/runatk03.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/runatk03.png
	attack 125 104 24 66 2 0 0 0 20 12
	frame	data/chars/heroes/blaze/runatk04.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/runatk04.png
	attack 127 95 27 34 2 0 0 0 20 12
	bbox 	119 107 12 58
	frame	data/chars/heroes/blaze/runatk05.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/runatk05.png
	attack 110 117 49 34 4 1 0 0 20 12
	bbox 	101 117 26 38
	frame	data/chars/heroes/blaze/runatk06.png
		delay	2
	attack 98 134 57 29 4 1 0 0 20 12
	frame	data/chars/heroes/blaze/runatk07.png
	@cmd landFrame
		delay	12
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	115 121 21 60
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/blaze/jumpland00.png

anim freespecial4 #OFFENSIVE SPECIAL
	range 60 80
	rangea 0 100
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	energycost 10 1 6
	@cmd healStart
	loop	0
	delay	4
	offset	127 179
	bbox 	128 114 19 67
	hitfx	data/sounds/MediumPunch.wav
	sound	data/sounds/SpecialAttack2.wav
	attack 128 114 67 21 4 0 0 0 10 12
	dropv 1 1 0
	frame	data/chars/heroes/blaze/special200.png
	attack 0 0 0 0 0 0 0 0 0 0
	sound	data/voices/Blaze4.wav
	frame	data/chars/heroes/blaze/special200.png
	attack 128 114 66 21 4 0 0 0 10 12
	dropv 1 1 0
	frame	data/chars/heroes/blaze/special201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special201.png
	attack 128 114 66 21 4 0 0 0 10 12
	dropv 1 1 0
	frame	data/chars/heroes/blaze/special202.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 117 19 64
	hitfx	data/sounds/HighPunch.wav
	frame	data/chars/heroes/blaze/special203.png
	frame	data/chars/heroes/blaze/special204.png
	bbox 	130 129 22 52
	frame	data/chars/heroes/blaze/special205.png
	attack 130 125 71 31 4 0 0 0 10 12
	dropv 1 1 0
	frame	data/chars/heroes/blaze/special206.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special206.png
	attack 130 125 88 31 4 0 0 0 10 12
	dropv 1 1 0
	frame	data/chars/heroes/blaze/special207.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special207.png
	attack 130 125 93 31 4 0 0 0 10 12
	dropv 1 1 0
	frame	data/chars/heroes/blaze/special208.png
	@cmd rageCancel 60 90 0 0 30 "ANI_FREESPECIAL" "hit"
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special208.png
		delay	8
	attack 130 125 93 31 8 1 0 0 10 12
	dropv 2 2 0
	frame	data/chars/heroes/blaze/special209.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special209.png

anim freespecial5 #RAGE Dash
	followanim 4
	followcond 1
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	energycost 45 1 6
	loop	0
	offset	127 179
	hitfx	data/sounds/MediumPunch.wav
	sound	data/voices/Blaze6.wav
	@cmd spawnBind "Rage" 0 0 -1
	frame	data/chars/heroes/blaze/rage00.png
	frame	data/chars/heroes/blaze/rage01.png
	frame	data/chars/heroes/blaze/rage02.png
	frame	data/chars/heroes/blaze/rage03.png
		delay	32
	@cmd leaper 3 2 0
	attack 130 101 43 80 2 0 0 0 0 18
	dropv 3 2 0
	frame	data/chars/heroes/blaze/rage04.png
		delay	2
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/rage05.png
	@cmd landFrame
	@cmd dasher 1 0 0
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/blaze/rage06.png
	frame	data/chars/heroes/blaze/rage07.png

anim follow4 #RAGE COMBO
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	energycost 60 1 6
	loop	0
	delay	4
	offset	127 179
	hitfx	data/sounds/MediumPunch.wav
	sound	data/sounds/SpecialAttack2.wav
	frame	data/chars/heroes/blaze/rage03.png
