##MAIN
name                SOR3_Shiva
remap                data/chars/bosses/shivabot/idle00.png data/chars/bosses/shivabot/alter1.png

##LOADS
load                Shiva_BotS
load        Shiva_Bot_Double

## DEFAULT ANIMATIONS #########################################################################

anim spawn
    loop    0
    delay    1
    offset    138 192
    frame    data/chars/bosses/shivabot/idle00.png

anim idle
    range    0 481
    rangea    -999 999
    rangez    -999 999
    loop    1
    delay    16
    offset    138 192
    bbox     128 114 18 80
    frame    data/chars/bosses/shivabot/idle00.png
    frame    data/chars/bosses/shivabot/idle01.png
    frame    data/chars/bosses/shivabot/idle02.png

anim walk
    loop    1
    delay    14
    offset    138 192
    bbox     128 114 18 80
    frame    data/chars/bosses/shivabot/walk00.png
    frame    data/chars/bosses/shivabot/walk01.png
    frame    data/chars/bosses/shivabot/walk02.png
    frame    data/chars/bosses/shivabot/walk03.png
    frame    data/chars/bosses/shivabot/walk04.png
    frame    data/chars/bosses/shivabot/walk05.png

anim backwalk
    loop    1
    delay    14
    offset    138 192
    bbox     128 114 18 80
    frame    data/chars/bosses/shivabot/walk05.png
    frame    data/chars/bosses/shivabot/walk04.png
    frame    data/chars/bosses/shivabot/walk03.png
    frame    data/chars/bosses/shivabot/walk02.png
    frame    data/chars/bosses/shivabot/walk01.png
    frame    data/chars/bosses/shivabot/walk00.png

anim run
    loop    1 2 4
    delay    3
    offset    138 192
    bbox     145 136 43 56
    sound    data/sounds/Slide.wav
    frame    data/chars/bosses/shivabot/run00.png
    frame    data/chars/bosses/shivabot/run01.png
    frame    data/chars/bosses/shivabot/run00.png
    frame    data/chars/bosses/shivabot/run01.png

anim get
    loop    0
    delay    16
    offset    138 192
    frame    data/chars/bosses/shivabot/get00.png

anim grab
    loop    0
    delay    16
    offset    138 192
    bbox     128 114 18 80
    @cmd vaultStuck
    frame    data/chars/bosses/shivabot/grab00.png

anim grabbed
    loop    0
    delay    8
    offset    138 192
    bbox     127 128 30 66
    frame    data/chars/bosses/shivabot/grabbed00.png

anim land
    loop    0
    delay    30
    offset    138 192
    @cmd landSafe
    sound    data/sounds/Jumping.wav
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump01.png

anim jumpdelay
    loop    0
    delay    12
    offset    138 192
    bbox     123 155 31 39
    frame    data/chars/bosses/shivabot/jumpdelay00.png

anim walkoff
    loop    0
    delay    6
    offset    138 192
    bbox     132 114 21 58
    @cmd jump 1
    frame    data/chars/bosses/shivabot/jump00.png
    bbox     133 114 22 53
    frame    data/chars/bosses/shivabot/jump01.png

anim jumpland
    loop    0
    delay    12
    offset    138 192
    bbox     123 155 31 39
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/jumpland00.png

anim guardbreak
    loop    0
    delay    4
    offset    138 192
    bbox     127 128 30 66
    sound    data/sounds/GuardBreak.wav
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png
    drawmethod tintmode 6
    drawmethod tintcolor 0
    frame    data/chars/bosses/shivabot/grabbed00.png
    nodrawmethod
    frame    data/chars/bosses/shivabot/grabbed01.png

anim pain #UP
    loop    0
    delay    4
    offset    138 192
    bbox     125 120 20 74
    frame    data/chars/bosses/shivabot/pain00.png
    frame    data/chars/bosses/shivabot/pain01.png
    frame    data/chars/bosses/shivabot/pain00.png
    frame    data/chars/bosses/shivabot/pain01.png
    frame    data/chars/bosses/shivabot/pain00.png
    frame    data/chars/bosses/shivabot/pain01.png
    frame    data/chars/bosses/shivabot/pain00.png
    frame    data/chars/bosses/shivabot/pain01.png

anim pain2 #DOWN
    loop    0
    delay    4
    offset    138 192
    bbox     127 128 30 66
    frame    data/chars/bosses/shivabot/pain200.png
    frame    data/chars/bosses/shivabot/pain201.png
    frame    data/chars/bosses/shivabot/pain200.png
    frame    data/chars/bosses/shivabot/pain201.png
    frame    data/chars/bosses/shivabot/pain200.png
    frame    data/chars/bosses/shivabot/pain201.png
    frame    data/chars/bosses/shivabot/pain200.png
    frame    data/chars/bosses/shivabot/pain201.png

anim fall #NORMAL
    landframe 1
    loop    0
    delay    999
    offset    138 192
    bbox     116 139 36 44
    frame    data/chars/bosses/shivabot/fall00.png
        delay    8
    bbox     95 172 82 22
    sound    data/sounds/Falling.wav
    frame    data/chars/bosses/shivabot/fall01.png

anim burn #BURNED FALL
    landframe 1
    loop    0
    delay    999
    offset    138 192
    bbox     116 139 36 44
    frame    data/chars/bosses/shivabot/fall00.png
        delay    8
    bbox     95 172 82 22
    sound    data/sounds/Falling.wav
    frame    data/chars/bosses/shivabot/fall01.png

anim shock #SHOCKED FALL
    landframe 1
    loop    0
    delay    999
    offset    138 192
    bbox     116 139 36 44
    frame    data/chars/bosses/shivabot/fall00.png
        delay    8
    bbox     95 172 82 22
    sound    data/sounds/Falling.wav
    frame    data/chars/bosses/shivabot/fall01.png

anim fall6 #SPIN FALL
    landframe 4
    loop    1 0 4
    delay    3
    offset    138 192
    frame    data/chars/bosses/shivabot/fall600.png
    frame    data/chars/bosses/shivabot/fall601.png
    frame    data/chars/bosses/shivabot/fall602.png
    frame    data/chars/bosses/shivabot/fall603.png
        delay    8
    sound    data/sounds/Falling.wav
    frame    data/chars/bosses/shivabot/fall01.png

anim fall7 #GRABSTART POSITION
    loop    0
    delay    1000
    offset    138 192
    frame    data/chars/bosses/shivabot/fall700.png
    frame    data/chars/bosses/shivabot/fall701.png
    frame    data/chars/bosses/shivabot/fall702.png
    frame    data/chars/bosses/shivabot/fall703.png
    frame    data/chars/bosses/shivabot/fall704.png
    frame    data/chars/bosses/shivabot/fall705.png

anim fall8 #FINISH/THROW TYPE 3
    landframe 2
    loop    0
    delay    30
    offset    138 192
    bbox     116 139 36 44
    hitfx    data/sounds/MediumKick.wav
    attack 116 139 36 44 4 1 0 0 20 12
    frame    data/chars/bosses/shivabot/fall00.png
        delay    999
    @cmd cancelFall 50 "ANI_LAND"
    frame    data/chars/bosses/shivabot/fall00.png
        delay    8
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     95 172 82 22
    sound    data/sounds/Falling.wav
    frame    data/chars/bosses/shivabot/fall01.png

anim fall9 #FINISH/THROW TYPE 2
    landframe 2
    loop    0
    delay    30
    offset    138 192
    bbox     120 135 31 59
    hitfx    data/sounds/MediumKick.wav
    attack 120 135 31 59 4 1 0 0 20 12
    frame    data/chars/bosses/shivabot/fall900.png
        delay    999
    @cmd cancelFall 50 "ANI_LAND"
    frame    data/chars/bosses/shivabot/fall900.png
        delay    8
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     95 172 82 22
    sound    data/sounds/Falling.wav
    frame    data/chars/bosses/shivabot/fall01.png

anim death
    loop    0
    delay    16
    offset    138 192
    frame    data/chars/bosses/shivabot/fall01.png
    frame    data/chars/bosses/shivabot/fall01.png
    frame    data/chars/bosses/shivabot/fall01.png

anim rise
    loop    0
    delay    12
    offset    138 192
    frame    data/chars/bosses/shivabot/rise00.png
    @cmd leaper 1 2 0
    frame    data/chars/bosses/shivabot/rise01.png
    frame    data/chars/bosses/shivabot/rise02.png
        delay    2
    frame    data/chars/bosses/shivabot/rise03.png
    @cmd landFrame
        delay    12
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/rise04.png

anim riseattack
    range 40 120
    rangea 0 0
    rangez -24 24
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    hitflash Impact
    loop    0
    delay    3
    offset    138 192
    hitfx    data/sounds/SpecialAttack3.wav
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "random"
    frame    data/chars/bosses/shivabot/rise00.png
    @cmd target 6 2
    @cmd leapTarget 2
    sound    data/sounds/Jumping.wav
    frame    data/chars/bosses/shivabot/rise01.png
    frame    data/chars/bosses/shivabot/rise02.png
    frame    data/chars/bosses/shivabot/jump00.png
    attack8 123 142 78 23 12 1 0 0 35 24
    dropv 3 5 0
    bbox     124 123 37 42
    sound    data/sounds/SpecialAttack7.wav
    frame    data/chars/bosses/shivabot/jumpatk00.png
        delay    2
    frame    data/chars/bosses/shivabot/jumpatk00.png
    @cmd landFrame
        delay    12
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     123 155 31 39
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/jumpland00.png

anim attack1
    range 20 40
    rangea 0 0
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    4
    offset    138 192
    bbox     136 119 24 75
    hitfx    data/sounds/LowPunch.wav
    sound    data/sounds/LowAttack.wav
    frame    data/chars/bosses/shivabot/a100.png
    attack 170 132 50 50 2 0 0 0 5 12
    bbox     152 132 28 62
    frame    data/chars/bosses/shivabot/a101.png
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     136 119 24 75
    frame    data/chars/bosses/shivabot/a102.png

anim attack2
    range 20 40
    rangea 0 0
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    8
    offset    138 192
    bbox     136 117 24 77
    hitfx    data/sounds/WeakPunch.wav
    sound    data/sounds/WeakAttack.wav
    frame    data/chars/bosses/shivabot/a200.png
        delay    4
    attack 155 137 95 55 2 0 0 0 10 12
    bbox     148 121 20 73
    frame    data/chars/bosses/shivabot/a201.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/a201.png
    attack 155 135 95 55 2 0 0 0 5 12
    bbox     145 122 22 72
    frame    data/chars/bosses/shivabot/a202.png
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     128 114 18 80
    frame    data/chars/bosses/shivabot/a203.png

anim attack3
    range 20 60
    rangea 0 100
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    4
    offset    138 192
    @cmd mpCost -15
    @cmd rageCancel 20 60 0 0 0 "ANI_FOLLOW5" "random"
    bbox     128 114 18 80
    hitfx    data/sounds/HighKick.wav
    sound    data/sounds/HighAttack.wav
    burn 136 146 51 35 8 1 0 0 15 24
    dropv 3.7 1 0
    frame    data/chars/bosses/shivabot/a300.png
    burn 134 132 61 20 8 1 0 0 15 24
    dropv 3.7 1 0
    frame    data/chars/bosses/shivabot/a301.png
    burn 135 95 46 47 8 1 0 0 15 24
    dropv 3.7 1 0
    bbox     122 114 19 80
    frame    data/chars/bosses/shivabot/a302.png
    @cmd rageCancel 0 60 0 120 15 "ANI_FREESPECIAL3" "hit"
    @cmd rageCancel 20 100 0 120 10 "ANI_JUMPATTACK2" "hit"
        delay    24
    burn 133 83 26 54 8 1 0 0 15 24
    dropv 3.7 1 0
    frame    data/chars/bosses/shivabot/a303.png
        delay    4
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     128 114 18 80
    frame    data/chars/bosses/shivabot/a304.png

anim runattack #BLITZ
    range 20 80
    rangea 0 0
    fastattack 1
    jugglecost 0
    forcedirection -1
    otg 1
    hitflash flash
    loop    0
    delay    6
    offset    138 192
    hitfx    data/sounds/SpecialAttack2.wav
    sound    data/voices/Attack4.wav
    frame    data/chars/bosses/shivabot/run00.png
        delay 24
    @cmd dasher 10 0 0
    attack 95 50 104 143 2 1 0 0 30 36
    seal 1 1
    sound    data/sounds/Shring5.wav
    frame    data/chars/bosses/shiva/rage00.png
        delay 8
    @cmd dasher 0 0 0
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/run01.png
    frame    data/chars/bosses/shivabot/a101.png

anim follow3 #RAGE STRIKE
    fastattack 1
    jugglecost 0
    forcedirection -1
    otg 1
    hitflash flash
    loop    0
    delay    16
    offset    138 192
    hitfx    data/sounds/HighPunch.wav
    frame    data/chars/bosses/shiva/rage00.png
        delay    4
    @cmd dasher 0 0 0
    attack -120 20 230 175 5 0 0 0 5 36
    seal 1 1
    frame    data/chars/bosses/shivabot/a101.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/a101.png
    @cmd looper 1 9
    attack -120 20 230 175 5 0 0 0 5 36
    seal 1 1
    frame    data/chars/bosses/shivabot/a101.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/a101.png

anim grabattack #KNEE
    attackone 0
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    6
    offset    138 192
    bbox     128 114 18 80
    hitfx    data/sounds/StrongPunch.wav
    sound    data/voices/Attack3.wav
    frame    data/chars/bosses/shivabot/grabatk00.png
    bbox     114 114 18 80
    frame    data/chars/bosses/shivabot/grabatk01.png
    frame    data/chars/bosses/shivabot/grabatk02.png
    bbox     128 114 18 80
    sound    data/sounds/StrongAttack.wav
    frame    data/chars/bosses/shivabot/grabatk03.png
    bbox     134 114 18 80
    frame    data/chars/bosses/shivabot/grabatk04.png
    burn 138 125 33 35 8 1 0 0 20 12
    dropv 3.7 1 0
    frame    data/chars/bosses/shivabot/grabatk05.png
    @cmd rageCancel 0 60 0 120 15 "ANI_FREESPECIAL3" "hit"
    @cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "hit"
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/grabatk06.png

anim grabattack2 #VAULT FRONT TO BACK
    loop    0
    delay    8
    offset    103 253
    frame    data/chars/bosses/shivabot/vault00.png
    frame    data/chars/bosses/shivabot/vault01.png
    frame    data/chars/bosses/shivabot/vault02.png
    frame    data/chars/bosses/shivabot/vault03.png
    frame    data/chars/bosses/shivabot/vault04.png
        delay    2
        offset    138 192
    @cmd vaultFix
    frame    data/chars/bosses/shivabot/grab00.png
    @cmd cancelVault "ANI_GRABDOWN2"
    bbox     128 114 18 80
    frame    data/chars/bosses/shivabot/grab00.png

anim grabup2 #VAULT BACK TO FRONT
    loop    0
    delay    8
    offset    103 253
    frame    data/chars/bosses/shivabot/vault00.png
    frame    data/chars/bosses/shivabot/vault01.png
    frame    data/chars/bosses/shivabot/vault02.png
    frame    data/chars/bosses/shivabot/vault03.png
    frame    data/chars/bosses/shivabot/vault04.png
        delay    2
        offset    138 192
    @cmd vaultFix
    frame    data/chars/bosses/shivabot/idle00.png
    bbox     128 114 18 80
    @cmd cancelVault "ANI_GRABATTACK"
    frame    data/chars/bosses/shivabot/idle00.png

anim grabforward #PUNCH
    attackone 0
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    12
    offset    138 192
    bbox     124 117 24 77
    hitfx    data/sounds/WeakPunch.wav
    sound    data/voices/Attack2.wav
    frame    data/chars/bosses/shivabot/fgrabatk00.png
        delay    4
    attack 138 124 53 25 6 0 0 0 5 12
    seal 1 1
    bbox     131 121 20 73
    frame    data/chars/bosses/shivabot/fgrabatk01.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/fgrabatk01.png
    attack 144 126 39 23 8 0 0 0 10 12
    seal 1 1
    bbox     137 122 22 72
    frame    data/chars/bosses/shivabot/fgrabatk02.png

anim grabforward2 #PUNCH
    attackone 0
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    12
    offset    138 192
    bbox     124 117 24 77
    hitfx    data/sounds/WeakPunch.wav
    sound    data/voices/Attack2.wav
    frame    data/chars/bosses/shivabot/fgrabatk00.png
        delay    4
    attack 138 124 53 25 6 0 0 0 5 12
    bbox     131 121 20 73
    frame    data/chars/bosses/shivabot/fgrabatk01.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/fgrabatk01.png
    attack 144 126 39 23 8 0 0 0 10 12
    bbox     137 122 22 72
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel 20 100 0 120 10 "ANI_JUMPATTACK2" "hit"
    frame    data/chars/bosses/shivabot/fgrabatk02.png

anim grabdown2 #BACK SLAM
    loop    0
    delay    18
    offset    138 192
    @cmd grabStart2
    @cmd position 0 20 0 0 1
    sound    data/voices/Attack3.wav
    frame    data/chars/bosses/shivabot/slam00.png
        delay    12
    @cmd position 5 0 40 0 0
    frame    data/chars/bosses/shivabot/slam01.png
    @cmd position 4 -25 50 0 1
    frame    data/chars/bosses/shivabot/slam02.png
    @cmd position 4 -45 -1 0 0
    @cmd spawn01 "QuakeHigh" 0 0 0
    sound    data/sounds/Slam.wav
    frame    data/chars/bosses/shivabot/slam03.png
        delay    24
    @cmd position 4 -60 0 0 0
    @cmd slam 50 2 0 4 0 0
    @cmd leaper 0 2 0
    frame    data/chars/bosses/shivabot/slam03.png
        delay    2
    frame    data/chars/bosses/shivabot/slam04.png
    @cmd landFrame
        delay    8
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/slam05.png
    @cmd clearL
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
    frame    data/chars/bosses/shivabot/slam05.png

anim grabbackward #BACK SLAM
    loop    0
    delay    18
    offset    138 192
    @cmd grabStart2
    @cmd position 0 20 0 0 0
    sound    data/voices/Attack3.wav
    frame    data/chars/bosses/shivabot/slam00.png
        delay    12
    @cmd position 5 0 40 0 0
    frame    data/chars/bosses/shivabot/slam01.png
    @cmd position 4 -25 50 0 0
    frame    data/chars/bosses/shivabot/slam02.png
    @cmd position 4 -45 -1 0 0
    @cmd spawn01 "QuakeHigh" 0 0 0
    sound    data/sounds/Slam.wav
    frame    data/chars/bosses/shivabot/slam03.png
        delay    24
    @cmd position 4 -60 0 0 0
    @cmd slam 50 2 0 4 0 0
    @cmd leaper 0 2 0
    frame    data/chars/bosses/shivabot/slam03.png
        delay    2
    frame    data/chars/bosses/shivabot/slam04.png
    @cmd landFrame
        delay    8
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/slam05.png
    @cmd clearL
    frame    data/chars/bosses/shivabot/slam05.png

anim grabbackward2 #AERIAL SPECIAL PILE
    attackone 0
    fastattack 1
    forcedirection 0
    otg 1
    energycost 10 1 6
    @cmd healStart
    loop    0
    delay    2
    offset    138 192
    hitfx    data/sounds/MediumKick.wav
    sound    data/voices/Attack3.wav
    @cmd jump 0
    @cmd grabStart2
    @cmd position 3 35 6 0 -1
    frame    data/chars/bosses/shivabot/slam07.png
    @cmd position 4 55 -1 0 -1
    frame    data/chars/bosses/shivabot/slam07.png
    @cmd landFrame
        delay    16
    @cmd position 5 70 -1 0 0
    @cmd spawn01 "QuakeHigh" 0 0 0
    @cmd spawn01 "Dust" 20 0 1
    attack 170 120 50 65 10 1 0 0 0 12
    sound    data/sounds/Slam.wav
    frame    data/chars/bosses/shivabot/slam07.png
    @cmd slam 50 1 0 4 0 0
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/slam07.png
        delay    8
    frame    data/chars/bosses/shivabot/slam04.png
    @cmd clearL
    frame    data/chars/bosses/shivabot/slam05.png



anim jumpattack #JUMP STATIC/FORWARD
    range 70 90
    rangea 0 0
    rangez -50 50
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    8
    offset    138 192
    bbox     132 114 21 58
    hitfx    data/sounds/HighKick.wav
    sound    data/sounds/Jumping.wav
    @cmd aniRandom "ANI_JUMPATTACK2"
    @cmd targetJump
    @cmd leapJump
    frame    data/chars/bosses/shivabot/jump00.png
    bbox     133 114 22 53
    frame    data/chars/bosses/shivabot/jump01.png
        delay    2
    bbox     124 123 37 42
    sound    data/sounds/HighAttack.wav
    frame    data/chars/bosses/shivabot/jumpatk00.png
    attack 123 142 78 23 4 1 0 0 20 12
    sound    data/voices/Attack4.wav
    frame    data/chars/bosses/shivabot/jumpatk00.png

anim jumpattack2 #JUMP DOWN
    range 70 90
    rangea 0 0
    rangez -50 50
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    8
    offset    138 192
    bbox     132 114 21 58
    hitfx    data/sounds/HighPunch.wav
    sound    data/sounds/Jumping.wav
    @cmd targetJump
    @cmd leapJump
    frame    data/chars/bosses/shivabot/jump00.png
    bbox     133 114 22 53
    frame    data/chars/bosses/shivabot/jump01.png
        delay    2
    bbox     132 125 43 36
    sound    data/sounds/HighAttack.wav
    frame    data/chars/bosses/shivabot/jumpatk200.png
    attack 130 85 135 155 1 0 1 1 0 24
    sound    data/voices/Attack4.wav
    frame    data/chars/bosses/shivabot/jumpatk200.png

anim special #DRAGON KICK
    fastattack 1
    jugglecost 5
    forcedirection 0
    otg 1
    energycost 20 1 6
    loop    0
    delay    4
    offset    138 192
    hitfx    data/sounds/HighKick.wav
    sound    data/sounds/Fire.wav
    frame    data/chars/bosses/shivabot/special00.png
    frame    data/chars/bosses/shivabot/special01.png
    burn 78 141 54 35 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special02.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special02.png
    delay    4
    burn 68 117 68 30 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special03.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special03.png
    delay    4
    burn 129 93 52 53 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special04.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special04.png
    delay    4
    @cmd rageCancel 0 60 0 120 25 "ANI_FREESPECIAL3" "hit"
    burn 141 103 60 49 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special05.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special05.png
    delay    4
    burn 141 138 60 43 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special06.png
        delay    16
    attack 0 0 0 0 0 0 0 0 0 0
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel 20 100 0 120 10 "ANI_JUMPATTACK2" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
    frame    data/chars/bosses/shivabot/special07.png


anim special2 #DRAGON KICK
    fastattack 1
    jugglecost 5
    forcedirection 0
    otg 1
    energycost 20 1 6
    loop    0
    delay    4
    offset    138 192
    hitfx    data/sounds/HighKick.wav
    sound    data/sounds/Fire.wav
    frame    data/chars/bosses/shivabot/special00.png
    frame    data/chars/bosses/shivabot/special01.png
    burn 78 141 54 35 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special02.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special02.png
    delay    4
    burn 68 117 68 30 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special03.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special03.png
    delay    4
    burn 129 93 52 53 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special04.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special04.png
    delay    4
    @cmd rageCancel 0 60 0 120 25 "ANI_FREESPECIAL3" "hit"
    burn 141 103 60 49 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special05.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/special05.png
    delay    4
    burn 141 138 60 43 8 1 0 0 20 12
    frame    data/chars/bosses/shivabot/special06.png
        delay    16
    attack 0 0 0 0 0 0 0 0 0 0
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel 20 100 0 120 10 "ANI_JUMPATTACK2" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
    frame    data/chars/bosses/shivabot/special07.png


anim freespecial #RAGE COMBO
    range 60 80
    rangea 50 100
    fastattack 1
    jugglecost 0
    forcedirection -1
    otg 1
    energycost 60 1 6
    loop    0
    delay    20
    offset    138 192
    hitfx    data/sounds/WeakPunch.wav
    sound    data/voices/Attack4.wav
    @cmd spawnBind "Rage" -10 -1 0
    frame    data/chars/bosses/shivabot/rage00.png
        delay    2
    @cmd dasher 6 0 0
    sound    data/sounds/WeakAttack.wav
    frame    data/chars/bosses/shivabot/rage01.png
        delay    8
    attack 118 123 51 19 2 0 0 0 10 12
    seal 1 1
    @cmd clearL
    frame    data/chars/bosses/shivabot/rage02.png
        delay    2
    @cmd dasher 0 0 0
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage03.png
    sound    data/sounds/WeakAttack.wav
