##MAIN
name				ShivaB
	frame	data/chars/bosses/shiva/walk05.png
	frame	data/chars/bosses/shiva/walk04.png
	frame	data/chars/bosses/shiva/walk03.png
	frame	data/chars/bosses/shiva/walk02.png
	frame	data/chars/bosses/shiva/walk01.png
	frame	data/chars/bosses/shiva/walk00.png

anim run
	loop	1
	delay	14
	offset	138 192
	bbox 	145 149 35 45
	sound	data/sounds/Slide.wav
	frame	data/chars/bosses/shiva/run00.png
	frame	data/chars/bosses/shiva/run01.png
	frame	data/chars/bosses/shiva/run00.png
	frame	data/chars/bosses/shiva/run01.png
	frame	data/chars/bosses/shiva/run00.png
	frame	data/chars/bosses/shiva/run01.png

anim get
	loop	0
	delay	16
	offset	138 192
	frame	data/chars/bosses/shiva/get00.png

anim grab
	loop	0
	delay	16
	offset	138 192
	bbox 	128 114 18 80
	@cmd vaultStuck
	frame	data/chars/bosses/shiva/grab00.png

anim grabbed
	loop	0
	delay	8
	offset	138 192
	bbox 	127 128 30 66
	frame	data/chars/bosses/shiva/grabbed00.png

anim land
	loop	0
	delay	30
	offset	138 192
	@cmd landSafe
	sound	data/sounds/Jumping.wav
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump01.png

anim jumpdelay
	loop	0
	delay	12
	offset	138 192
	bbox 	120 155 31 39
	frame	data/chars/bosses/shiva/jumpdelay00.png

anim walkoff
	loop	0
	delay	6
	offset	138 192
	bbox 	128 114 21 58
	@cmd jump 1
	frame	data/chars/bosses/shiva/jump00.png
	bbox 	130 110 22 53
	frame	data/chars/bosses/shiva/jump01.png

anim jumpland
	loop	0
	delay	12
	offset	138 192
	bbox 	120 155 31 39
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/jumpland00.png

anim guardbreak
	loop	0
	delay	4
	offset	138 192
	bbox 	127 128 30 66
	sound	data/sounds/GuardBreak.wav
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png
	frame	data/chars/bosses/shiva/grabbed00.png
	frame	data/chars/bosses/shiva/grabbed01.png

anim pain #UP
	loop	0
	delay	4
	offset	138 192
	bbox 	125 120 20 74
	frame	data/chars/bosses/shiva/pain00.png
	frame	data/chars/bosses/shiva/pain01.png
	frame	data/chars/bosses/shiva/pain00.png
	frame	data/chars/bosses/shiva/pain01.png
	frame	data/chars/bosses/shiva/pain00.png
	frame	data/chars/bosses/shiva/pain01.png
	frame	data/chars/bosses/shiva/pain00.png
	frame	data/chars/bosses/shiva/pain01.png

anim pain2 #DOWN
	loop	0
	delay	4
	offset	138 192
	bbox 	127 128 30 66
	frame	data/chars/bosses/shiva/pain200.png
	frame	data/chars/bosses/shiva/pain201.png
	frame	data/chars/bosses/shiva/pain200.png
	frame	data/chars/bosses/shiva/pain201.png
	frame	data/chars/bosses/shiva/pain200.png
	frame	data/chars/bosses/shiva/pain201.png
	frame	data/chars/bosses/shiva/pain200.png
	frame	data/chars/bosses/shiva/pain201.png

anim fall #NORMAL
	landframe 1
	loop	0
	delay	999
	offset	138 192
	bbox 	112 139 36 44
	frame	data/chars/bosses/shiva/fall00.png
		delay	8
	bbox 	97 170 82 24
	sound	data/sounds/Falling.wav
	frame	data/chars/bosses/shiva/fall01.png

anim burn #BURNED FALL
	landframe 1
	loop	0
	delay	999
	offset	138 192
	bbox 	112 139 36 44
	frame	data/chars/bosses/shiva/fall00.png
		delay	8
	bbox 	97 170 82 24
	sound	data/sounds/Falling.wav
	frame	data/chars/bosses/shiva/fall01.png

anim shock #SHOCKED FALL
	landframe 1
	loop	0
	delay	999
	offset	138 192
	bbox 	112 139 36 44
	frame	data/chars/bosses/shiva/fall00.png
		delay	8
	bbox 	97 170 82 24
	sound	data/sounds/Falling.wav
	frame	data/chars/bosses/shiva/fall01.png

anim fall6 #SPIN FALL
	landframe 4
	loop	1 0 4
	delay	3
	offset	138 192
	frame	data/chars/bosses/shiva/fall600.png
	frame	data/chars/bosses/shiva/fall601.png
	frame	data/chars/bosses/shiva/fall602.png
	frame	data/chars/bosses/shiva/fall603.png
		delay	8
	sound	data/sounds/Falling.wav
	frame	data/chars/bosses/shiva/fall01.png

anim fall7 #GRABSTART POSITION
	loop	0
	delay	1000
	offset	138 192
	frame	data/chars/bosses/shiva/fall700.png
	frame	data/chars/bosses/shiva/fall701.png
	frame	data/chars/bosses/shiva/fall702.png
	frame	data/chars/bosses/shiva/fall703.png
	frame	data/chars/bosses/shiva/fall704.png
	frame	data/chars/bosses/shiva/fall705.png

anim fall8 #FINISH/THROW TYPE 3
	landframe 2
	loop	0
	delay	30
	offset	138 192
	bbox 	112 139 36 44
	hitfx	data/sounds/MediumKick.wav
	attack 112 139 36 44 4 1 0 0 20 12
	frame	data/chars/bosses/shiva/fall00.png
		delay	999
	#@cmd cancelFall 50 "ANI_LAND"
	frame	data/chars/bosses/shiva/fall00.png
		delay	8
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	97 170 82 24
	sound	data/sounds/Falling.wav
	frame	data/chars/bosses/shiva/fall01.png

anim fall9 #FINISH/THROW TYPE 2
	landframe 2
	loop	0
	delay	30
	offset	138 192
	bbox 	120 135 31 59
	hitfx	data/sounds/MediumKick.wav
	attack 120 135 31 59 4 1 0 0 20 12
	frame	data/chars/bosses/shiva/fall900.png
		delay	999
	#@cmd cancelFall 50 "ANI_LAND"
	frame	data/chars/bosses/shiva/fall900.png
		delay	8
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	97 170 82 24
	sound	data/sounds/Falling.wav
	frame	data/chars/bosses/shiva/fall01.png

anim death
	loop	0
	delay	16
	offset	138 192
	frame	data/chars/bosses/shiva/fall01.png
	frame	data/chars/bosses/shiva/fall01.png
	frame	data/chars/bosses/shiva/fall01.png

anim rise
	loop	0
	delay	12
	offset	138 192
	frame	data/chars/bosses/shiva/rise00.png
	@cmd leaper 1 2 0
	frame	data/chars/bosses/shiva/rise01.png
	frame	data/chars/bosses/shiva/rise02.png
		delay	2
	frame	data/chars/bosses/shiva/rise03.png
	@cmd landFrame
		delay	12
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/rise04.png

anim riseattack
	range 40 120
	rangea 0 0
	rangez -24 24
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	hitflash Impact
	loop	0
	delay	3
	offset	138 192
	@cmd mpCost -75
	hitfx	data/sounds/SpecialAttack3.wav
	@cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "random"
	frame	data/chars/bosses/shiva/rise00.png
	@cmd target 6 2
	@cmd leapTarget 2
	sound	data/sounds/Jumping.wav
	frame	data/chars/bosses/shiva/rise01.png
	frame	data/chars/bosses/shiva/rise02.png
	frame	data/chars/bosses/shiva/jump00.png
	bbox 	122 123 38 39
	attack8 123 142 75 23 12 1 0 0 24 24
	dropv 3 5 0
	sound	data/sounds/SpecialAttack7.wav
	frame	data/chars/bosses/shiva/jumpatk00.png
		delay	2
	frame	data/chars/bosses/shiva/jumpatk00.png
	@cmd landFrame
		delay	12
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	120 155 31 39
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/jumpland00.png

anim attack1
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	138 192
	bbox 	140 117 24 77
	hitfx	data/sounds/LowPunch.wav
	sound	data/sounds/LowAttack.wav
	attack 150 116 52 77 2 0 0 0 15 12
	frame	data/chars/bosses/shiva/a100.png
		delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/a100.png
		delay	4
	bbox 	144 122 30 72
	attack 161 121 50 71 2 0 0 0 15 12
	frame	data/chars/bosses/shiva/a101.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/a102.png
		delay	3
	bbox 	128 114 18 80
	frame	data/chars/bosses/shiva/a103.png

anim attack2
	range 20 40
	rangea 0 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	138 192
	bbox 	128 119 30 74
	hitfx	data/sounds/HighPunch.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/bosses/shiva/a200.png
	bbox 	128 132 30 60
	attack 138 136 80 56 8 0 0 0 30 24
	frame	data/chars/bosses/shiva/a201.png
	delay 3
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 118 30 75
	frame	data/chars/bosses/shiva/a202.png
	bbox 	128 114 18 80
	frame	data/chars/bosses/shiva/a203.png

anim attack3
	range 20 60
	rangea 0 100
	fastattack 1
	jugglecost 3
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	138 192
	@cmd mpCost -25
	@cmd rageCancel 20 60 0 0 0 "ANI_FOLLOW5" "random"
	bbox 	126 114 19 80
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	attack2 136 148 50 31 4 0 0 0 30 12
	frame	data/chars/bosses/shiva/a300.png
		delay	2
	attack 0 0 0 0 0 0 0 0 0 0
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/bosses/shiva/a300.png
		delay	4
	attack 135 133 61 22 8 1 0 0 25 12
	dropv 3.7 1 0
	frame	data/chars/bosses/shiva/a301.png
	attack 135 95 46 47 8 1 0 0 25 12
	dropv 3.7 1 0
	bbox 	122 114 19 80
	frame	data/chars/bosses/shiva/a302.png
	@cmd rageCancel 40 120 0 160 20 "ANI_FREESPECIAL3" "hit"
		delay	24
	attack 133 83 26 54 8 1 0 0 25 12
	dropv 3.7 1 0
	frame	data/chars/bosses/shiva/a303.png
		delay	4
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 114 18 80
	@cmd rageCancel 40 120 0 160 20 "ANI_FREESPECIAL2" "hit"
	@cmd rageCancel 0 150 0 160 5 "ANI_FREESPECIAL4" "hit"
	frame	data/chars/bosses/shiva/a304.png

anim runattack #BLITZ
	range 20 80
	rangea 0 0
	fastattack 1
	jugglecost 3
	forcedirection -1
	otg 1
	hitflash flash
	loop	0
	delay	6
	offset	138 192
	hitfx	data/sounds/SpecialAttack2.wav
	sound	data/voices/Attack4.wav
	frame	data/chars/bosses/shiva/run00.png
		delay 24
	@cmd dasher 8 0 0
	attack 96 60 94 135 2 1 0 0 30 36
	seal 1 1
	sound	data/sounds/Shring5.wav
	frame	data/chars/bosses/shiva/rage00.png
		delay 8
	@cmd dasher 0 0 0
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/run01.png
	frame	data/chars/bosses/shiva/a201.png

anim grabattack #KICK
	attackone 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	138 192
	@cmd mpCost -25
	bbox 	126 114 19 80
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	attack2 136 148 50 31 4 0 0 0 20 12
	seal 1 1
	frame	data/chars/bosses/shiva/a300.png
		delay	2
	attack 0 0 0 0 0 0 0 0 0 0
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/bosses/shiva/a300.png
		delay	4
	burn 135 133 61 22 8 1 0 0 15 12
	seal 1 1
	dropv 3.7 1 0
	frame	data/chars/bosses/shiva/a301.png
	burn 135 95 46 47 8 1 0 0 15 12
	seal 1 1
	dropv 3.7 1 0
	bbox 	122 114 19 80
	frame	data/chars/bosses/shiva/a302.png
	@cmd rageCancel 40 120 0 160 20 "ANI_FREESPECIAL3" "hit"
		delay	24
	burn 133 83 26 54 8 1 0 0 15 12
	seal 1 1
	dropv 3.7 1 0
	frame	data/chars/bosses/shiva/a303.png
		delay	4
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 114 18 80
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
	@cmd rageCancel -150 150 0 160 5 "ANI_FREESPECIAL4" "hit"
	frame	data/chars/bosses/shiva/a304.png

anim grabattack2 #VAULT FRONT TO BACK
	loop	0
	delay	8
	offset	103 253
	@cmd mpCost -25
	frame	data/chars/bosses/shiva/vault00.png
	frame	data/chars/bosses/shiva/vault01.png
	frame	data/chars/bosses/shiva/vault02.png
	frame	data/chars/bosses/shiva/vault03.png
	frame	data/chars/bosses/shiva/vault04.png
		delay	2
		offset	138 192
	@cmd vaultFix
	frame	data/chars/bosses/shiva/grab00.png
	@cmd cancelVault "ANI_GRABDOWN2"
	bbox 	128 114 18 80
	frame	data/chars/bosses/shiva/grab00.png

anim grabup2 #VAULT BACK TO FRONT
	loop	0
	delay	8
	offset	103 253
	@cmd mpCost -25
	frame	data/chars/bosses/shiva/vault00.png
	frame	data/chars/bosses/shiva/vault01.png
	frame	data/chars/bosses/shiva/vault02.png
	frame	data/chars/bosses/shiva/vault03.png
	frame	data/chars/bosses/shiva/vault04.png
		delay	2
		offset	138 192
	@cmd vaultFix
	frame	data/chars/bosses/shiva/idle00.png
	@cmd cancelVault "ANI_GRABATTACK"
	bbox 	128 114 18 80
	frame	data/chars/bosses/shiva/idle00.png

anim grabforward #PUNCH
	attackone 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	6
	offset	138 192
	@cmd mpCost -25
	bbox 	121 114 18 80
	hitfx	data/sounds/LowPunch.wav
	sound	data/sounds/LowAttack.wav
	frame	data/chars/bosses/shiva/grabatk00.png
	attack2 144 120 34 29 6 0 0 0 15 12
	seal 1 1
	bbox 	128 120 19 74
	frame	data/chars/bosses/shiva/grabatk01.png
		delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/grabatk01.png
		delay	8
	attack2 144 120 34 29 8 0 0 0 15 12
	seal 1 1
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel 40 120 0 160 20 "ANI_FREESPECIAL2" "hit"
	frame	data/chars/bosses/shiva/grabatk02.png

anim grabforward2 #PUNCH
	attackone 0
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	6
	offset	138 192
	@cmd mpCost -25
	bbox 	121 114 18 80
	hitfx	data/sounds/LowPunch.wav
	sound	data/sounds/LowAttack.wav
	frame	data/chars/bosses/shiva/grabatk00.png
	attack2 144 120 34 29 6 0 0 0 15 12
	bbox 	128 120 19 74
	frame	data/chars/bosses/shiva/grabatk01.png
		delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/grabatk01.png
		delay	8
	attack2 144 120 34 29 8 0 0 0 15 12
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel 40 120 0 160 20 "ANI_FREESPECIAL2" "hit"
	frame	data/chars/bosses/shiva/grabatk02.png

anim grabdown2 #BACK SLAM
	loop	0
	delay	18
	offset	138 192
	@cmd mpCost -25
	@cmd grabStart2
	@cmd position 0 20 0 0 1
	sound	data/voices/Attack4.wav
	frame	data/chars/bosses/shiva/slam00.png
		delay	12
	@cmd position 5 0 40 0 0
	frame	data/chars/bosses/shiva/slam01.png
	@cmd position 4 -25 50 0 1
	frame	data/chars/bosses/shiva/slam02.png
	@cmd position 4 -45 -1 0 0
	@cmd spawn01 "QuakeHigh" 0 0 0
	sound	data/sounds/Slam.wav
	frame	data/chars/bosses/shiva/slam03.png
		delay	24
	@cmd position 4 -60 0 0 0
	@cmd slam 30 2 0 4 0 0
	@cmd leaper 0 2 0
	frame	data/chars/bosses/shiva/slam03.png
		delay	2
	frame	data/chars/bosses/shiva/slam04.png
	@cmd landFrame
		delay	8
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/slam05.png
	@cmd clearL
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
	@cmd rageCancel -150 150 0 160 5 "ANI_FREESPECIAL4" "hit"
	frame	data/chars/bosses/shiva/slam05.png

anim jumpattack #JUMP STATIC/FORWARD
	range 40 90
	rangea 0 0
	rangez -50 50
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	138 192
	@cmd mpCost -15
	bbox 	128 114 21 58
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/Jumping.wav
	@cmd aniRandom "ANI_JUMPATTACK2"
	@cmd targetJump
	@cmd leapJump
	frame	data/chars/bosses/shiva/jump00.png
	bbox 	130 110 22 53
	frame	data/chars/bosses/shiva/jump01.png
		delay	2
	bbox 	122 123 38 39
	sound	data/sounds/HighAttack.wav
	frame	data/chars/bosses/shiva/jumpatk00.png
	attack 124 142 74 26 9 1 0 0 30 24
	frame	data/chars/bosses/shiva/jumpatk00.png

anim jumpattack2 #JUMP DOWN
	range 40 90
	rangea 0 0
	rangez -50 50
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	138 192
	@cmd mpCost -15
	bbox 	128 114 21 58
	hitfx	data/sounds/HighPunch.wav
	sound	data/sounds/Jumping.wav
	@cmd targetJump
	@cmd leapJump
	frame	data/chars/bosses/shiva/jump00.png
	bbox 	130 110 22 53
	frame	data/chars/bosses/shiva/jump01.png
		delay	2
	bbox 	132 134 43 36
	sound	data/sounds/HighAttack.wav
	frame	data/chars/bosses/shiva/jumpatk200.png
	attack 130 85 135 155 1 0 1 1 0 24
	frame	data/chars/bosses/shiva/jumpatk200.png

anim special #DRAGON KICK
	fastattack 1
	jugglecost 5
	forcedirection 0
	otg 1
	energycost 20 1 6
	loop	0
	delay	4
	offset	138 192
	@cmd mpCost -75
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/Fire.wav
	frame	data/chars/bosses/shiva/special00.png
	frame	data/chars/bosses/shiva/special01.png
	attack 83 141 49 35 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special02.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special02.png
	delay	4
	attack 73 117 63 30 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special03.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special03.png
	delay	4
	attack 129 93 53 53 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special04.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special04.png
	delay	4
	attack 141 103 61 49 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special05.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special05.png
	delay	4
	attack 141 138 57 43 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special06.png
		delay	16
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel 0 150 0 160 5 "ANI_FREESPECIAL2" "hit"
	frame	data/chars/bosses/shiva/special07.png

anim special2 #DRAGON KICK
	fastattack 1
	jugglecost 5
	forcedirection 0
	otg 1
	energycost 20 1 6
	loop	0
	delay	4
	offset	138 192
	@cmd mpCost -75
	hitfx	data/sounds/HighKick.wav
	sound	data/sounds/Fire.wav
	frame	data/chars/bosses/shiva/special00.png
	frame	data/chars/bosses/shiva/special01.png
	attack 83 141 49 35 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special02.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special02.png
	delay	4
	attack 73 117 63 30 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special03.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special03.png
	delay	4
	attack 129 93 53 53 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special04.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special04.png
	delay	4
	attack 141 103 61 49 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special05.png
	delay	1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special05.png
	delay	4
	attack 141 138 57 43 8 1 0 0 20 12
	frame	data/chars/bosses/shiva/special06.png
		delay	16
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel 0 150 0 160 5 "ANI_FREESPECIAL2" "hit"
	frame	data/chars/bosses/shiva/special07.png

anim freespecial #GROUND RAGE
	range 80 120
	rangea 0 0
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	energycost 60 1 6
	loop	0
	delay	20
	offset	138 192
	hitfx	data/sounds/StrongPunch.wav
	sound	data/voices/Attack4.wav
	@cmd spawnBind "Rage" 0 -1 0
	frame	data/chars/bosses/shiva/a200.png
		delay	12
	@cmd leaper 3 2 0
	sound	data/sounds/Fire.wav
	frame	data/chars/bosses/shiva/special200.png
	burn 130 100 65 75 20 1 0 0 30 24
	seal 1 1
	dropv 1.5 2 0
	frame	data/chars/bosses/shiva/special201.png
		delay	2
	hitfx	data/sounds/SpecialAttack6.wav
	hitflash Impact
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special201.png
	attack8 130 80 100 120 45 1 0 0 30 24
	seal 1 1
	dropv 3 5 0
	frame	data/chars/bosses/shiva/special202.png
	attack8 130 80 100 120 45 1 0 0 30 24
	seal 1 1
	dropv 3 5 0
	frame	data/chars/bosses/shiva/special203.png
	@cmd landFrame
		delay	12
	attack 0 0 0 0 0 0 0 0 0 0
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/jumpland00.png

anim follow1 #AERIAL RAGE
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	energycost 60 1 6
	loop	0
	delay	20
	offset	138 192
	hitfx	data/sounds/StrongPunch.wav
	sound	data/voices/Attack4.wav
	@cmd spawnBind "Rage" 0 -1 0
	@cmd leaper NULL() 2 0
	frame	data/chars/bosses/shiva/finalcrash08.png
		delay	4
	@cmd leaper 3 2 0
	sound	data/sounds/Fire.wav
	frame	data/chars/bosses/shiva/special200.png
		delay	12
	burn 130 100 65 75 20 1 0 0 30 24
	seal 1 1
	dropv 1.5 2 0
	frame	data/chars/bosses/shiva/special201.png
		delay	2
	hitfx	data/sounds/SpecialAttack6.wav
	hitflash Impact
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special201.png
	burn 130 80 100 120 45 1 0 0 30 24
	seal 1 1
	dropv 3 5 0
	frame	data/chars/bosses/shiva/special202.png
	burn 130 80 100 120 45 1 0 0 30 24
	seal 1 1
	dropv 3 5 0
	frame	data/chars/bosses/shiva/special203.png
	@cmd landFrame
		delay	12
	attack 0 0 0 0 0 0 0 0 0 0
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/jumpland00.png

anim freespecial2 #FINAL CRASH RUN
	range 60 120
	rangea 0 0
	fastattack 1
	jugglecost 3
	energycost 15 1 6
	forcedirection -1
	otg 1
	loop	0
	delay	1
	offset	138 192
	bbox 	145 149 35 45
	@cmd target 3 3
	@cmd dashTarget
	sound	data/sounds/Slide.wav
	frame	data/chars/bosses/shiva/run00.png
		delay	3
	@cmd cancel 30 60 0 100 -24 24 "ANI_FOLLOW2"
	@cmd dashTarget
	frame	data/chars/bosses/shiva/run00.png
	@cmd cancel 30 60 0 100 -24 24 "ANI_FOLLOW2"
	@cmd dashTarget
	frame	data/chars/bosses/shiva/run01.png
		delay	8
	@cmd looper 1 7
	@cmd dasher 2 0 0
	bbox 	114 145 33 49
	frame	data/chars/bosses/shiva/finalcrash00.png
	@cmd dasher 1 0 0
	frame	data/chars/bosses/shiva/finalcrash00.png
	@cmd dasher 0 0 0
	bbox 	120 155 31 39
	frame	data/chars/bosses/shiva/finalcrash09.png
	@cmd clearL
	frame	data/chars/bosses/shiva/finalcrash09.png

anim follow2 #FINAL CRASH
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	loop	0
	delay	3
	offset	138 192
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/SpecialAttack.wav
